#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:364:2:1001,1001,1603:45:16:364:0,1603:45:16:364:1:1,1603:45:16:364:2:1001,Eshtehard,شهرستان اشتهارد,IR001001,,,,,,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:1002,1002,1603:45:16:364:0,1603:45:16:364:1:1,1603:45:16:364:2:1002,Fardis,شهرستان فردیس,IR001002,,,,,,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:1003,1003,1603:45:16:364:0,1603:45:16:364:1:1,1603:45:16:364:2:1003,Karaj,شهرستان کرج,IR001003,,,,,,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:1004,1004,1603:45:16:364:0,1603:45:16:364:1:1,1603:45:16:364:2:1004,Nazarabad,شهرستان نظرآباد,IR001004,,,,,,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:1005,1005,1603:45:16:364:0,1603:45:16:364:1:1,1603:45:16:364:2:1005,Savojbolagh,شهرستان ساوجبلاغ,IR001005,,,,,,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:1006,1006,1603:45:16:364:0,1603:45:16:364:1:1,1603:45:16:364:2:1006,Taleghan,شهرستان طالقان,IR001006,,,,,,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:2001,2001,1603:45:16:364:0,1603:45:16:364:1:2,1603:45:16:364:2:2001,Ardabil,شهرستان اردبیل,IR002001,,,,,,Ardabil,اردبیل,IR002,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:2002,2002,1603:45:16:364:0,1603:45:16:364:1:2,1603:45:16:364:2:2002,Bilasavar,شهرستان بیله‌سوار,IR002002,,,,,,Ardabil,اردبیل,IR002,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:2003,2003,1603:45:16:364:0,1603:45:16:364:1:2,1603:45:16:364:2:2003,Germi,شهرستان گرمی,IR002003,,,,,,Ardabil,اردبیل,IR002,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:2004,2004,1603:45:16:364:0,1603:45:16:364:1:2,1603:45:16:364:2:2004,Khalkhal,شهرستان خلخال,IR002004,,,,,,Ardabil,اردبیل,IR002,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
