qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:894:1:10,10,1603:45:16:894:0,1603:45:16:894:1:10,Central,ZM10,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:11,11,1603:45:16:894:0,1603:45:16:894:1:11,Muchinga,ZM11,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:20,20,1603:45:16:894:0,1603:45:16:894:1:20,Copperbelt,ZM20,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:30,30,1603:45:16:894:0,1603:45:16:894:1:30,Eastern,ZM30,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:40,40,1603:45:16:894:0,1603:45:16:894:1:40,Luapula,ZM40,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:50,50,1603:45:16:894:0,1603:45:16:894:1:50,Lusaka,ZM50,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:60,60,1603:45:16:894:0,1603:45:16:894:1:60,Northern,ZM60,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:70,70,1603:45:16:894:0,1603:45:16:894:1:70,North-Western,ZM70,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:80,80,1603:45:16:894:0,1603:45:16:894:1:80,Southern,ZM80,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:90,90,1603:45:16:894:0,1603:45:16:894:1:90,Western,ZM90,Zambia,ZM,2020-11-26,2020-11-26,
