#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:108:2:1001,1001,Bubanza,BI001001,Bubanza,Bubanza (Bubanza),,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1002,1002,Gihanga,BI001002,Gihanga,Gihanga (Bubanza),,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1003,1003,Mpanda,BI001003,Mpanda,Mpanda (Bubanza),,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1004,1004,Musigati,BI001004,Musigati,Musigati (Bubanza),,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1005,1005,Rugazi,BI001005,Rugazi,Rugazi (Bubanza),,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2002,2002,Isale,BI002002,Isale,Isale (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2003,2003,Kabezi,BI002003,Kabezi,Kabezi (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2004,2004,Kanyosha1,BI002004,Kanyosha1,Kanyosha1 (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2005,2005,Mubimbi,BI002005,Mubimbi,Mubimbi (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2006,2006,Mugongomanga,BI002006,Mugongomanga,Mugongomanga (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2008,2008,Mukike,BI002008,Mukike,Mukike (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2009,2009,Mutambu,BI002009,Mutambu,Mutambu (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2010,2010,Mutimbuzi,BI002010,Mutimbuzi,Mutimbuzi (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2012,2012,Nyabiraba,BI002012,Nyabiraba,Nyabiraba (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3002,3002,Bururi,BI003002,Bururi,Bururi (Bururi),,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3004,3004,Matana,BI003004,Matana,Matana (Bururi),,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3005,3005,Mugamba,BI003005,Mugamba,Mugamba (Bururi),,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3007,3007,Rutovu,BI003007,Rutovu,Rutovu (Bururi),,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3008,3008,Songa,BI003008,Songa,Songa (Bururi),,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3009,3009,Vyanda,BI003009,Vyanda,Vyanda (Bururi),,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4001,4001,Cankuzo,BI004001,Cankuzo,Cankuzo (Cankuzo),,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4002,4002,Cendajuru,BI004002,Cendajuru,Cendajuru (Cankuzo),,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4003,4003,Gisagara,BI004003,Gisagara,Gisagara (Cankuzo),,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4004,4004,Kigamba,BI004004,Kigamba,Kigamba (Cankuzo),,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
