qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:108:2:1001,1001,1603:45:16:108:0,1603:45:16:108:1:1,1603:45:16:108:2:1001,Bubanza,BI001001,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1002,1002,1603:45:16:108:0,1603:45:16:108:1:1,1603:45:16:108:2:1002,Gihanga,BI001002,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1003,1003,1603:45:16:108:0,1603:45:16:108:1:1,1603:45:16:108:2:1003,Mpanda,BI001003,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1004,1004,1603:45:16:108:0,1603:45:16:108:1:1,1603:45:16:108:2:1004,Musigati,BI001004,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:1005,1005,1603:45:16:108:0,1603:45:16:108:1:1,1603:45:16:108:2:1005,Rugazi,BI001005,Bubanza,BI001,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2002,2002,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2002,Isale,BI002002,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2003,2003,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2003,Kabezi,BI002003,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2004,2004,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2004,Kanyosha1,BI002004,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2005,2005,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2005,Mubimbi,BI002005,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2006,2006,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2006,Mugongomanga,BI002006,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2008,2008,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2008,Mukike,BI002008,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2009,2009,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2009,Mutambu,BI002009,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2010,2010,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2010,Mutimbuzi,BI002010,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:2012,2012,1603:45:16:108:0,1603:45:16:108:1:2,1603:45:16:108:2:2012,Nyabiraba,BI002012,Bujumbura Rural,BI002,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3002,3002,1603:45:16:108:0,1603:45:16:108:1:3,1603:45:16:108:2:3002,Bururi,BI003002,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3004,3004,1603:45:16:108:0,1603:45:16:108:1:3,1603:45:16:108:2:3004,Matana,BI003004,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3005,3005,1603:45:16:108:0,1603:45:16:108:1:3,1603:45:16:108:2:3005,Mugamba,BI003005,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3007,3007,1603:45:16:108:0,1603:45:16:108:1:3,1603:45:16:108:2:3007,Rutovu,BI003007,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3008,3008,1603:45:16:108:0,1603:45:16:108:1:3,1603:45:16:108:2:3008,Songa,BI003008,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:3009,3009,1603:45:16:108:0,1603:45:16:108:1:3,1603:45:16:108:2:3009,Vyanda,BI003009,Bururi,BI003,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4001,4001,1603:45:16:108:0,1603:45:16:108:1:4,1603:45:16:108:2:4001,Cankuzo,BI004001,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4002,4002,1603:45:16:108:0,1603:45:16:108:1:4,1603:45:16:108:2:4002,Cendajuru,BI004002,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4003,4003,1603:45:16:108:0,1603:45:16:108:1:4,1603:45:16:108:2:4003,Gisagara,BI004003,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4004,4004,1603:45:16:108:0,1603:45:16:108:1:4,1603:45:16:108:2:4004,Kigamba,BI004004,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:4005,4005,1603:45:16:108:0,1603:45:16:108:1:4,1603:45:16:108:2:4005,Mishiha,BI004005,Cankuzo,BI004,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:5001,5001,1603:45:16:108:0,1603:45:16:108:1:5,1603:45:16:108:2:5001,Buganda,BI005001,Cibitoke,BI005,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:5002,5002,1603:45:16:108:0,1603:45:16:108:1:5,1603:45:16:108:2:5002,Bukinanyana,BI005002,Cibitoke,BI005,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:5003,5003,1603:45:16:108:0,1603:45:16:108:1:5,1603:45:16:108:2:5003,Mabayi,BI005003,Cibitoke,BI005,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:5004,5004,1603:45:16:108:0,1603:45:16:108:1:5,1603:45:16:108:2:5004,Mugina,BI005004,Cibitoke,BI005,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:5005,5005,1603:45:16:108:0,1603:45:16:108:1:5,1603:45:16:108:2:5005,Murwi,BI005005,Cibitoke,BI005,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:5006,5006,1603:45:16:108:0,1603:45:16:108:1:5,1603:45:16:108:2:5006,Rugombo,BI005006,Cibitoke,BI005,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6001,6001,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6001,Bugendana,BI006001,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6002,6002,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6002,Bukirasazi,BI006002,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6003,6003,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6003,Buraza,BI006003,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6004,6004,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6004,Giheta,BI006004,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6005,6005,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6005,Gishubi,BI006005,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6006,6006,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6006,Gitega,BI006006,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6007,6007,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6007,Itaba,BI006007,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6008,6008,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6008,Makebuko,BI006008,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6009,6009,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6009,Mutaho,BI006009,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6010,6010,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6010,Ryansoro,BI006010,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:6011,6011,1603:45:16:108:0,1603:45:16:108:1:6,1603:45:16:108:2:6011,Nyanrusange,BI006011,Gitega,BI006,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:7001,7001,1603:45:16:108:0,1603:45:16:108:1:7,1603:45:16:108:2:7001,Bugenyuzi,BI007001,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
