#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_regexc,#item+rem+i_qcc+is_zxxx+ix_regexvdc,#item+rem+i_qcc+is_zxxx+ix_tconceptuae,#item+rem+i_qcc+is_zxxx+ix_tlinguae,#item+rem+i_qcc+is_zxxx+ix_tterminum,#item+rem+i_qcc+is_zxxx+ix_hxlt,#item+rem+i_qcc+is_zxxx+ix_hxla,#item+rem+i_qcc+is_zxxx+ix_exemplum,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip1630
1,{{1603_13_1_2}},,,,,,,,[Rēgula expressiōnī cōnstrūctae (HXL Standard Tag)],
2,{{1603_13_1_3}},,,,,,,,[Rēgula expressiōnī cōnstrūctae (HXL Standard attributes)],
3,{{1603_13_1_23}},,,,,,,,"[Rēgula expressiōnī cōnstrūctae (HXL Standard composed prefix, Hashtag + attributes)]",
4,{{1603_13_1_3_9}},{{1603_13_1_3}},,,,,,,"[Rēgula expressiōnī cōnstrūctae (HXL Standard attributes, language +i_)]",
5,{{1603_13_1_3_19}},{{1603_13_1_3}},,,,,,,"[Rēgula expressiōnī cōnstrūctae (HXL Standard attributes, writting system +is_)]",
6,{{1603_13_1_3_24}},{{1603_13_1_3}},,,,,,,"[Rēgula expressiōnī cōnstrūctae (HXL Standard attributes, +ix_)]",
7,{{1603_13_1_3_919}},{{1603_13_1_3}},,,,,,,"[Rēgula expressiōnī cōnstrūctae (HXL Standard attributes, +i_zzz+is_zzzz)]",
8,{{1603_13_1_23_91924}},{{1603_13_1_23}},,,,,,,[Rēgula expressiōnī cōnstrūctae (HXL Standard composed prefix #hashtag+rem+i_zzz+is_zzzz+ix_zzzzzzz)],
9,,{{1603_13_1_2}},,,,#item,,,[Factum ad Rēgula expressiōnī cōnstrūctae (HXL Standard Tag)],
10,,{{1603_13_1_2}},,,,#status,,,[Status ad Rēgula expressiōnī cōnstrūctae (HXL Standard Tag)],
11,,{{1603_13_1_2}},,,,#meta,,,[Meta ad Rēgula expressiōnī cōnstrūctae (HXL Standard Tag)],
12,{{1603_13_1_23_3}},{{1603_13_1_23}},1,,,,,,/Concept level information/,
13,{{1603_13_1_23_3_10}},{{1603_13_1_23_3}},1,,,#item,conceptum+codicem,#item+conceptum+codicem,"/Concept level information, local identifier/",
14,{{1603_13_1_23_3_11}},{{1603_13_1_23_3}},1,,,#status,conceptum+codicem,#status+conceptum+codicem,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,
15,{{1603_13_1_23_3_18}},{{1603_13_1_23_3}},1,,,#meta,conceptum+codicem,#meta+conceptum+codicem,"/Concept level information, local identifier, metadata/",
16,{{1603_13_1_23_3_21}},{{1603_13_1_23_3}},1,,,#status,conceptum+definitionem,#status+conceptum+definitionem,/Educated guess on comprehensibility (1-100) of concept/,
17,{{1603_13_1_23_91924_26}},{{1603_13_1_23_91924}},1,,,#item,rem+i_qcc+is_zxxx+{{1603_13_1_3_24}},#item+rem+i_qcc+is_zxxx+{{1603_13_1_3_24}},"/Concept level information, external identifier/",
18,{{1603_13_1_23_919}},{{1603_13_1_23}},0,1,1,,rem+{{1603_13_1_3_919}},,"/Language and term level information, any type/",
19,{{1603_13_1_23_919_1}},{{1603_13_1_23_919}},0,0,1,#item,rem+{{1603_13_1_3_919}},#item+rem+{{1603_13_1_3_919}},"/Language level information, local human label/",
20,{{1603_13_1_23_919_13}},{{1603_13_1_23_919}},0,0,1,#meta,rem+{{1603_13_1_3_919}},#meta+rem+{{1603_13_1_3_919}},/Metadata about the local human label/,
21,{{1603_13_1_23_919_19}},{{1603_13_1_23_919}},0,0,1,#status,rem+{{1603_13_1_3_919}},#status+rem+{{1603_13_1_3_919}},/Educated guess on reliability (1-100) of the local human label/,
22,{{1603_13_1_23_91924_26_13_12_16}},{{1603_13_1_23_91924_26}},1,0,0,#item,rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikiq,"/Wikidata, QID/",https://www.wikidata.org/wiki/$1
23,{{1603_13_1_23_91924_26_13_12_17}},{{1603_13_1_23_91924_26}},1,0,0,#item,rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_qcc+is_zxxx+ix_wikip,"/Wikidata, P; Property (also attribute)/",https://www.wikidata.org/wiki/Property:$1
