#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:90:1:1,1,Choiseul,SB01,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:2,2,Western,SB02,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:3,3,Isabel,SB03,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:4,4,Central,SB04,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:5,5,Rennell-Bell,SB05,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:6,6,Guadalcanal,SB06,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:7,7,Malaita,SB07,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:8,8,Makira-Ulawa,SB08,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:9,9,Temotu,SB09,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:1:10,10,Honiara,SB10,,,,Solomon Islands,SB,2018-01-12,2021-09-29,
