#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:716:1:10,10,1603:45:16:716:0,1603:45:16:716:1:10,Bulawayo,ZW10,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:11,11,1603:45:16:716:0,1603:45:16:716:1:11,Manicaland,ZW11,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:12,12,1603:45:16:716:0,1603:45:16:716:1:12,Mashonaland Central,ZW12,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:13,13,1603:45:16:716:0,1603:45:16:716:1:13,Mashonaland East,ZW13,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:14,14,1603:45:16:716:0,1603:45:16:716:1:14,Mashonaland West,ZW14,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:15,15,1603:45:16:716:0,1603:45:16:716:1:15,Matabeleland North,ZW15,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:16,16,1603:45:16:716:0,1603:45:16:716:1:16,Matabeleland South,ZW16,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:17,17,1603:45:16:716:0,1603:45:16:716:1:17,Midlands,ZW17,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:18,18,1603:45:16:716:0,1603:45:16:716:1:18,Masvingo,ZW18,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:19,19,1603:45:16:716:0,1603:45:16:716:1:19,Harare,ZW19,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
