qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:716:1:10,10,1603:45:16:716:0,1603:45:16:716:1:10,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:11,11,1603:45:16:716:0,1603:45:16:716:1:11,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:12,12,1603:45:16:716:0,1603:45:16:716:1:12,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:13,13,1603:45:16:716:0,1603:45:16:716:1:13,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:14,14,1603:45:16:716:0,1603:45:16:716:1:14,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:15,15,1603:45:16:716:0,1603:45:16:716:1:15,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:16,16,1603:45:16:716:0,1603:45:16:716:1:16,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:17,17,1603:45:16:716:0,1603:45:16:716:1:17,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:18,18,1603:45:16:716:0,1603:45:16:716:1:18,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:19,19,1603:45:16:716:0,1603:45:16:716:1:19,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
