#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx,#item+rem+i_mul+is_zyyy,#item+rem+i_ara+is_arab,#item+rem+i_ben+is_beng,#item+rem+i_grc+is_grek,#item+rem+i_lat+is_latn,#item+rem+i_rus+is_cyrl,#item+rem+i_san+is_zzzz,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zzzz,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zzzz,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
Q274095,,,تخشب موتي,,,,трупное окоченение,,Rigor mortis,rigor mortis,rigidité cadavérique,lijkstijfheid,Totenstarre,Rigor mortis,rigor mortis,Teannáil an bháis,likstelhet,,,stężenie pośmiertne,kuolonkankeus,Rigor mortis,Co cứng tử thi,rigidesa cadavèrica,Трупне окоченіння,Трупно вкочаняване,mrliška okorelost,,Dødsstivhet,Posmrtná ztuhlost,,死後硬直,,മൃത്യുജകാഠിന്യം,Kaku mayat,جمود نعشی,Hullamerevség,,,rigor mortis,,Kadavra rigideco,,,,,,,,,
Q671701,,,تعفن,,,,гниение,,putrefação,putrefaction,putréfaction,,Putrefizierung,putrefacción,putrefazione,,,,,rozpad gnilny,,Putrefacție,,,Гниття,Гниене,,,,Hnití,,,,,,گندیدگی,,,,,,putrado,,Roiskumine,,,,,,,
Q747953,,,ازرقاق الجثة,,,,трупные пятна,,Livor mortis,Livor mortis,Lividités cadavériques,livor mortis,Totenfleck,Livor mortis,Livor mortis,,Likfläck,,,plamy pośmiertne,Lautuma,,Hồ máu tử thi,,Трупні плями,Хипостаза,,,Dødsflekk,posmrtné skvrny,Livores,死斑,,,Livor mortis,,,,,,,Livor mortis,,,,,,,,,
Q1500381,,,برودة الموت,,,,посмертное охлаждение,,Algor mortis,algor mortis,algor mortis,algor mortis,Algor mortis,Algor mortis,algor mortis,,Likkyla,,,oziębienie pośmiertne,kuolonkylmyys,,Mát lạnh tử thi,,,Трупно изстиване,Mrliška ohladitev,,,Algor mortis,,死冷,,,,,,,,,,,,,,,,,,,
Q3493484,,,شحوب الموت,,,,трупная бледность,,Pallor mortis,Pallor mortis,Pallor mortis,Pallor mortis,Pallor mortis,Pallor mortis,Pallor mortis,,likblekhet,,,bladość pośmiertna,kuolonkalpeus,,Tái nhạt tử thi,,,Трупна бледост,Mrliška bledica,,,Pallor mortis,,,,,,,,,,,,,,,,,,,,,
