#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:450:2:11101001,11101001,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101001,1er Arrondissement,MG11101001A,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11101002,11101002,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101002,2e Arrondissement,MG11101002A,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11101003,11101003,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101003,3e Arrondissement,MG11101003A,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11101004,11101004,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101004,4e Arrondissement,MG11101004A,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11101005,11101005,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101005,5e Arrondissement,MG11101005A,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11101006,11101006,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101006,6e Arrondissement,MG11101006A,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11102,11102,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,Antananarivo Avaradrano,MG11102,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11103,11103,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,Ambohidratrimo,MG11103,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11104,11104,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11104,Ankazobe,MG11104,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11106,11106,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11106,Manjakandriana,MG11106,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11107,11107,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11107,Anjozorobe,MG11107,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11115,11115,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11115,Andramasina,MG11115,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:11117,11117,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11117,Antananarivo Atsimondrano,MG11117,,,,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:12108,12108,1603:45:16:450:0,1603:45:16:450:1:12,1603:45:16:450:2:12108,Antsirabe I,MG12108,,,,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:12109,12109,1603:45:16:450:0,1603:45:16:450:1:12,1603:45:16:450:2:12109,Betafo,MG12109,,,,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:12110,12110,1603:45:16:450:0,1603:45:16:450:1:12,1603:45:16:450:2:12110,Ambatolampy,MG12110,,,,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:12114,12114,1603:45:16:450:0,1603:45:16:450:1:12,1603:45:16:450:2:12114,Antanifotsy,MG12114,,,,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:12116,12116,1603:45:16:450:0,1603:45:16:450:1:12,1603:45:16:450:2:12116,Faratsiho,MG12116,,,,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:12118,12118,1603:45:16:450:0,1603:45:16:450:1:12,1603:45:16:450:2:12118,Antsirabe II,MG12118,,,,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:12120,12120,1603:45:16:450:0,1603:45:16:450:1:12,1603:45:16:450:2:12120,Mandoto,MG12120,,,,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:13105,13105,1603:45:16:450:0,1603:45:16:450:1:13,1603:45:16:450:2:13105,Arivonimamo,MG13105,,,,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:13112,13112,1603:45:16:450:0,1603:45:16:450:1:13,1603:45:16:450:2:13112,Miarinarivo,MG13112,,,,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:13113,13113,1603:45:16:450:0,1603:45:16:450:1:13,1603:45:16:450:2:13113,Soavinandriana,MG13113,,,,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:14111,14111,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,Tsiroanomandidy,MG14111,,,,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:14119,14119,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,Fenoarivobe,MG14119,,,,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:21201,21201,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,Fianarantsoa I,MG21201,,,,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:21205,21205,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,Ambalavao,MG21205,,,,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:21208,21208,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,Ambohimahasoa,MG21208,,,,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:21219,21219,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,Ikalamavony,MG21219,,,,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:21220,21220,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,Lalangina,MG21220,,,,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:21224,21224,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,Vohibato,MG21224,,,,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:21225,21225,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21225,Isandra,MG21225,,,,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:22202,22202,1603:45:16:450:0,1603:45:16:450:1:22,1603:45:16:450:2:22202,Ambatofinandrahana,MG22202,,,,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:22203,22203,1603:45:16:450:0,1603:45:16:450:1:22,1603:45:16:450:2:22203,Ambositra,MG22203,,,,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:22204,22204,1603:45:16:450:0,1603:45:16:450:1:22,1603:45:16:450:2:22204,Fandriana,MG22204,,,,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:22223,22223,1603:45:16:450:0,1603:45:16:450:1:22,1603:45:16:450:2:22223,Manandriana,MG22223,,,,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:23206,23206,1603:45:16:450:0,1603:45:16:450:1:23,1603:45:16:450:2:23206,Ifanadiana,MG23206,,,,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:23207,23207,1603:45:16:450:0,1603:45:16:450:1:23,1603:45:16:450:2:23207,Nosy-Varika,MG23207,,,,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:2:23209,23209,1603:45:16:450:0,1603:45:16:450:1:23,1603:45:16:450:2:23209,Mananjary,MG23209,,,,Vatovavy Fitovinany,MG23,Madagascar,MG,2010-12-31,2020-02-20,
