#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:728:2:101,101,1603:45:16:728:0,1603:45:16:728:1:1,1603:45:16:728:2:101,Juba,SS0101,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:102,102,1603:45:16:728:0,1603:45:16:728:1:1,1603:45:16:728:2:102,Kajo-keji,SS0102,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:103,103,1603:45:16:728:0,1603:45:16:728:1:1,1603:45:16:728:2:103,Lainya,SS0103,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:104,104,1603:45:16:728:0,1603:45:16:728:1:1,1603:45:16:728:2:104,Morobo,SS0104,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:105,105,1603:45:16:728:0,1603:45:16:728:1:1,1603:45:16:728:2:105,Terekeka,SS0105,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:106,106,1603:45:16:728:0,1603:45:16:728:1:1,1603:45:16:728:2:106,Yei,SS0106,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:201,201,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:201,Budi,SS0201,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:202,202,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:202,Ikotos,SS0202,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:203,203,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:203,Kapoeta East,SS0203,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:204,204,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:204,Kapoeta North,SS0204,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:205,205,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:205,Kapoeta South,SS0205,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:206,206,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:206,Lafon,SS0206,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:207,207,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:207,Magwi,SS0207,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:208,208,1603:45:16:728:0,1603:45:16:728:1:2,1603:45:16:728:2:208,Torit,SS0208,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:301,301,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:301,Akobo,SS0301,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:302,302,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:302,Ayod,SS0302,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:303,303,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:303,Bor South,SS0303,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:304,304,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:304,Canal-Pigi,SS0304,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:305,305,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:305,Duk,SS0305,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:306,306,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:306,Fangak,SS0306,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:307,307,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:307,Nyirol,SS0307,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:308,308,1603:45:16:728:0,1603:45:16:728:1:3,1603:45:16:728:2:308,Pibor,SS0308,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
