#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:24:1:1,1,1603:45:16:24:0,1603:45:16:24:1:1,Bengo,AO01,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:2,2,1603:45:16:24:0,1603:45:16:24:1:2,Benguela,AO02,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:3,3,1603:45:16:24:0,1603:45:16:24:1:3,Bié,AO03,Bie,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:4,4,1603:45:16:24:0,1603:45:16:24:1:4,Cabinda,AO04,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:5,5,1603:45:16:24:0,1603:45:16:24:1:5,Cuando Cubango,AO05,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:6,6,1603:45:16:24:0,1603:45:16:24:1:6,Cuanza Norte,AO06,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:7,7,1603:45:16:24:0,1603:45:16:24:1:7,Cuanza Sul,AO07,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:8,8,1603:45:16:24:0,1603:45:16:24:1:8,Cunene,AO08,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:9,9,1603:45:16:24:0,1603:45:16:24:1:9,Huíla,AO09,Huila,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:10,10,1603:45:16:24:0,1603:45:16:24:1:10,Huambo,AO10,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:11,11,1603:45:16:24:0,1603:45:16:24:1:11,Luanda,AO11,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:12,12,1603:45:16:24:0,1603:45:16:24:1:12,Lunda Norte,AO12,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:13,13,1603:45:16:24:0,1603:45:16:24:1:13,Lunda Sul,AO13,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:14,14,1603:45:16:24:0,1603:45:16:24:1:14,Malanje,AO14,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:15,15,1603:45:16:24:0,1603:45:16:24:1:15,Moxico,AO15,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:16,16,1603:45:16:24:0,1603:45:16:24:1:16,Namibe,AO16,,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:17,17,1603:45:16:24:0,1603:45:16:24:1:17,Uíge,AO17,Uige,,,Angola,AO,2018-08-30,2020-11-12,
1603:45:16:24:1:18,18,1603:45:16:24:0,1603:45:16:24:1:18,Zaire,AO18,,,,Angola,AO,2018-08-30,2020-11-12,
