#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:270:2:101,101,1603:45:16:270:0,1603:45:16:270:1:1,1603:45:16:270:2:101,Banjul,GM0101,,,,Banjul,GM01,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:201,201,1603:45:16:270:0,1603:45:16:270:1:2,1603:45:16:270:2:201,Fulladu East,GM0201,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:202,202,1603:45:16:270:0,1603:45:16:270:1:2,1603:45:16:270:2:202,Kantora,GM0202,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:203,203,1603:45:16:270:0,1603:45:16:270:1:2,1603:45:16:270:2:203,Sandu,GM0203,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:204,204,1603:45:16:270:0,1603:45:16:270:1:2,1603:45:16:270:2:204,Wuli,GM0204,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:301,301,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:301,Foni Bintang Karenai,GM0301,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:302,302,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:302,Foni Bondali,GM0302,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:303,303,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:303,Foni Brefet,GM0303,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:304,304,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:304,Foni Jarrol,GM0304,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:305,305,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:305,Foni Kansala,GM0305,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:306,306,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:306,Kombo Central,GM0306,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:307,307,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:307,Kombo East,GM0307,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:308,308,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:308,Kombo North/St Marie,GM0308,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:309,309,1603:45:16:270:0,1603:45:16:270:1:3,1603:45:16:270:2:309,Kombo South,GM0309,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:401,401,1603:45:16:270:0,1603:45:16:270:1:4,1603:45:16:270:2:401,Fulladu West,GM0401,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:402,402,1603:45:16:270:0,1603:45:16:270:1:4,1603:45:16:270:2:402,Janjanbureh,GM0402,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:403,403,1603:45:16:270:0,1603:45:16:270:1:4,1603:45:16:270:2:403,Niamina Dankunku,GM0403,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:404,404,1603:45:16:270:0,1603:45:16:270:1:4,1603:45:16:270:2:404,Niamina East,GM0404,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:405,405,1603:45:16:270:0,1603:45:16:270:1:4,1603:45:16:270:2:405,Niamina West,GM0405,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:501,501,1603:45:16:270:0,1603:45:16:270:1:5,1603:45:16:270:2:501,Kanifing,GM0501,,,,Kanifing,GM05,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:601,601,1603:45:16:270:0,1603:45:16:270:1:6,1603:45:16:270:2:601,Central Baddibu,GM0601,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:602,602,1603:45:16:270:0,1603:45:16:270:1:6,1603:45:16:270:2:602,Jokadu,GM0602,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:603,603,1603:45:16:270:0,1603:45:16:270:1:6,1603:45:16:270:2:603,Lower Baddibu,GM0603,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:604,604,1603:45:16:270:0,1603:45:16:270:1:6,1603:45:16:270:2:604,Lower Niumi,GM0604,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:605,605,1603:45:16:270:0,1603:45:16:270:1:6,1603:45:16:270:2:605,Upper Baddibu,GM0605,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:606,606,1603:45:16:270:0,1603:45:16:270:1:6,1603:45:16:270:2:606,Upper Niumi,GM0606,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:701,701,1603:45:16:270:0,1603:45:16:270:1:7,1603:45:16:270:2:701,Lower Saloum,GM0701,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:702,702,1603:45:16:270:0,1603:45:16:270:1:7,1603:45:16:270:2:702,Niani,GM0702,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:703,703,1603:45:16:270:0,1603:45:16:270:1:7,1603:45:16:270:2:703,Nianija,GM0703,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:704,704,1603:45:16:270:0,1603:45:16:270:1:7,1603:45:16:270:2:704,Sami,GM0704,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:705,705,1603:45:16:270:0,1603:45:16:270:1:7,1603:45:16:270:2:705,Upper Saloum,GM0705,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:801,801,1603:45:16:270:0,1603:45:16:270:1:8,1603:45:16:270:2:801,Jarra Central,GM0801,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:802,802,1603:45:16:270:0,1603:45:16:270:1:8,1603:45:16:270:2:802,Jarra East,GM0802,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:803,803,1603:45:16:270:0,1603:45:16:270:1:8,1603:45:16:270:2:803,Jarra West,GM0803,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:804,804,1603:45:16:270:0,1603:45:16:270:1:8,1603:45:16:270:2:804,Kiang Central,GM0804,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:805,805,1603:45:16:270:0,1603:45:16:270:1:8,1603:45:16:270:2:805,Kiang East,GM0805,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
1603:45:16:270:2:806,806,1603:45:16:270:0,1603:45:16:270:1:8,1603:45:16:270:2:806,Kiang West,GM0806,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
