admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Kinshasa,CD10,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kongo-Central,CD20,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kwango,CD31,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kwilu,CD32,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Maï-Ndombe,CD33,Mai-Ndombe,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Equateur,CD41,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Sud-Ubangi,CD42,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Nord-Ubangi,CD43,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Mongala,CD44,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Tshuapa,CD45,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Tshopo,CD51,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Bas-Uele,CD52,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Haut-Uele,CD53,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Ituri,CD54,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Nord-Kivu,CD61,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Sud-Kivu,CD62,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Maniema,CD63,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Haut-Katanga,CD71,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Lualaba,CD72,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Haut-Lomami,CD73,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Tanganyika,CD74,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Lomami,CD81,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kasaï-Oriental,CD82,Kasai-Oriental,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Sankuru,CD83,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kasaï-Central,CD91,Kasai-Central,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
Kasaï,CD92,Kasai,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
