admin1Name_en,admin1Name_kk,admin1Name_ru,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_kk,admin1AltName2_kk,admin1AltName1_ru,admin1AltName2_ru,admin0Name_en,admin0Name_kk,admin0Name_ru,admin0Pcode,date,validOn,validTo
Akmola,Ақмола,Акмолинская ,KZ11,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Aktobe,Ақтөбе ,Актюбинская ,KZ15,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Almaty,Алматы,Алматинская ,KZ19,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Atyrau,Атырау ,Атырауская ,KZ23,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
West Kazakhstan,Батыс Қазақстан ,Западно-Казахстанская ,KZ27,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Jambyl,Жамбыл ,Жамбылская ,KZ31,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Karagandy,Қарағанды ,Карагандинская ,KZ35,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Kostanay,Қостанай ,Костанайская ,KZ39,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Kyzylorda,Қызылорда  ,Кызылординская ,KZ43,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Mangystau,Маңғыстау ,Мангистауская ,KZ47,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Pavlodar,Павлодар ,Павлодарская ,KZ55,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
North Kazakhstan,Солтүстiк Қазақстан ,Северо-Казахстанская ,KZ59,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Turkestan,Түркістан ,Туркестанская,KZ61,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
East Kazakhstan,Шығыс Қазақстан ,Восточно-Казахстанская ,KZ63,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Nur-Sultan (city),Нұр-Сұлтан,Нур-Султан,KZ71,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Almaty (city),Алматы (қала),Алматы ,KZ75,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
Shymkent (city),Шымкент,Чимкент,KZ79,,,,,,,,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
