admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Abidjan,CI010101,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Anyama,CI010102,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bingerville,CI010103,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Brofodoumé,CI010104,Brofodoume,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Songon,CI010105,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Attiégouakro,CI020101,Attiegouakro,,,Attiégouakro,CI0201,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Lolobo,CI020102,,,,Attiégouakro,CI0201,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Yamoussoukro,CI020201,,,,Yamoussoukro,CI0202,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kossou,CI020202,,,,Yamoussoukro,CI0202,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Aboudé,CI030101,Aboude,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Agboville,CI030102,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Ananguié,CI030103,Ananguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Attobrou,CI030104,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Azaguié,CI030105,Azaguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Cechi,CI030106,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Grand-Morié,CI030107,Grand-Morie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Guessiguié,CI030108,Guessiguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Loviguié,CI030109,Loviguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Oress-Krobou,CI030110,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Rubino,CI030111,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Sikensi,CI030201,,,,Sikensi,CI0302,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gomon,CI030202,,,,Sikensi,CI0302,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Taabo,CI030301,,,,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Pacobo,CI030302,,,,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tiassalé,CI030401,Tiassale,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gbolouville,CI030402,,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Morokro,CI030403,,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
N'Douci,CI030404,NDouci,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Koro,CI040101,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Booko,CI040102,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Borotou,CI040103,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Mahandougou,CI040104,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Niokosso,CI040105,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Ouaninou,CI040201,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gbèlo,CI040202,Gbelo,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gouékan,CI040203,Gouekan,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Koonan,CI040204,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Saboudougou,CI040205,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Santa,CI040206,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Touba,CI040301,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Dioman,CI040302,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Foungbesso,CI040303,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Guintéguéla,CI040304,Guinteguela,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Baya,CI050101,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Boundiali,CI050102,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Ganaoni,CI050103,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kasséré,CI050104,Kassere,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Siempurgo,CI050105,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kouto,CI050201,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Blességué,CI050202,Blessegue,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gbon,CI050203,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kolia,CI050204,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Sianhala,CI050205,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tengrela,CI050301,,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Débété,CI050302,Debete,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kanakono,CI050303,,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Papara,CI050304,,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Boli,CI060101,,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Didievi,CI060102,,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Molonou-Blé,CI060103,Molonou-Ble,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Raviart,CI060104,,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tie N'Diékro,CI060105,Tie NDiékro,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bonikro,CI060201,,,,Djekanou,CI0602,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Djékanou,CI060202,Djekanou,,,Djekanou,CI0602,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tiébissou,CI060301,Tiebissou,,,Tiébissou,CI0603,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Lomokankro,CI060302,,,,Tiébissou,CI0603,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Molonou,CI060303,,,,Tiébissou,CI0603,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Yakpabo-Sakassou,CI060304,,,,Tiébissou,CI0603,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Toumodi,CI060401,,,,Toumodi,CI0604,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Angoda,CI060402,,,,Toumodi,CI0604,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kokoumbo,CI060403,,,,Toumodi,CI0604,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kpouèbo,CI060404,Kpouebo,,,Toumodi,CI0604,Belier,CI06,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Dianra,CI070101,,,,Dianra,CI0701,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Dianra-Village,CI070102,,,,Dianra,CI0701,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kounahiri,CI070201,,,,Kounahiri,CI0702,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kongasso,CI070202,,,,Kounahiri,CI0702,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Mankono,CI070301,,,,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bouandougou,CI070302,,,,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Marandallah,CI070303,,,,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Sarhala,CI070304,,,,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tiéningboué,CI070305,Tieningboue,,,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bouko,CI080101,,,,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bouna,CI080102,,,,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Ondéfidouo,CI080103,Ondefidouo,,,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Parc National de Bona,CI080104,,,,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Youndouo,CI080105,,,,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Danoa,CI080201,,,,Doropo,CI0802,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Doropo,CI080202,,,,Doropo,CI0802,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kalamon,CI080203,,,,Doropo,CI0802,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Niamoué,CI080204,Niamoue,,,Doropo,CI0802,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Nassian,CI080301,,,,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bogofa,CI080302,,,,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Kakpin,CI080303,,,,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Koutouba,CI080304,,,,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Sominassé,CI080305,Sominasse,,,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Téhini,CI080401,Tehini,,,Téhini,CI0804,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Gogo,CI080402,,,,Téhini,CI0804,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tougbo,CI080403,,,,Téhini,CI0804,Bounkani,CI08,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Bloléquin,CI090101,Blolequin,,,Bloléquin,CI0901,Cavally,CI09,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Diboké,CI090102,Diboke,,,Bloléquin,CI0901,Cavally,CI09,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Doké,CI090103,Doke,,,Bloléquin,CI0901,Cavally,CI09,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
Tinhou,CI090104,,,,Bloléquin,CI0901,Cavally,CI09,Côte d'Ivoire,CI,2011-12-24,2018-07-06,
