admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Estuaire,GA001,,,,Gabon,GA,2015-02-17,2021-12-31,
Haut-Ogooue,GA002,,,,Gabon,GA,2015-02-17,2021-12-31,
Moyen-Ogooue,GA003,,,,Gabon,GA,2015-02-17,2021-12-31,
Ngounie,GA004,,,,Gabon,GA,2015-02-17,2021-12-31,
Nyanga,GA005,,,,Gabon,GA,2015-02-17,2021-12-31,
Ogooue-Ivindo,GA006,,,,Gabon,GA,2015-02-17,2021-12-31,
Ogooue-Lolo,GA007,,,,Gabon,GA,2015-02-17,2021-12-31,
Ogooue-Maritime,GA008,,,,Gabon,GA,2015-02-17,2021-12-31,
Woleu-Ntem,GA009,,,,Gabon,GA,2015-02-17,2021-12-31,
