admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Sucre,BO010101,,,,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Yotala,BO010102,,,,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Poroma,BO010103,,,,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Azurduy,BO010201,,,,Azurduy,BO0102,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Tarvita,BO010202,,,,Azurduy,BO0102,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Zudañez,BO010301,Zudanez,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Presto,BO010302,,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Mojocoya,BO010303,,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Villa Ricardo Mugia - Icla,BO010304,,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Padilla,BO010401,,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Tomina,BO010402,,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Sopachui,BO010403,,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
