admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Central,ZM10,,,,Zambia,ZM,2020-11-26,2020-11-26,
Muchinga,ZM11,,,,Zambia,ZM,2020-11-26,2020-11-26,
Copperbelt,ZM20,,,,Zambia,ZM,2020-11-26,2020-11-26,
Eastern,ZM30,,,,Zambia,ZM,2020-11-26,2020-11-26,
Luapula,ZM40,,,,Zambia,ZM,2020-11-26,2020-11-26,
Lusaka,ZM50,,,,Zambia,ZM,2020-11-26,2020-11-26,
Northern,ZM60,,,,Zambia,ZM,2020-11-26,2020-11-26,
North-Western,ZM70,,,,Zambia,ZM,2020-11-26,2020-11-26,
Southern,ZM80,,,,Zambia,ZM,2020-11-26,2020-11-26,
Western,ZM90,,,,Zambia,ZM,2020-11-26,2020-11-26,
