admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Solok,ID1303,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Sijunjung,ID1304,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Tanah Datar,ID1305,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Padang Pariaman,ID1306,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Agam,ID1307,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Lima Puluh Kota,ID1308,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Pasaman,ID1309,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Solok Selatan,ID1310,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Dharmasraya,ID1311,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Pasaman Barat,ID1312,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kota Padang,ID1371,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kota Solok,ID1372,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kota Sawah Lunto,ID1373,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kota Padang Panjang,ID1374,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kota Bukittinggi,ID1375,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kota Payakumbuh,ID1376,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kota Pariaman,ID1377,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Danau,ID1388,,,,Sumatera Barat,ID13,Indonesia,ID,2019-12-20,2020-04-01,
Kuantan Singingi,ID1401,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Indragiri Hulu,ID1402,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Indragiri Hilir,ID1403,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Pelalawan,ID1404,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Siak,ID1405,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Kampar,ID1406,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Rokan Hulu,ID1407,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Bengkalis,ID1408,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Rokan Hilir,ID1409,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Kepulauan Meranti,ID1410,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Kota Pekanbaru,ID1471,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Kota Dumai,ID1473,,,,Riau,ID14,Indonesia,ID,2019-12-20,2020-04-01,
Kerinci,ID1501,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Merangin,ID1502,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
