admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Agbandi,TG010101,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Atchintse,TG010102,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Blitta Village,TG010103,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Blitta-Gare,TG010104,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Diguengue,TG010105,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Dikpeleou,TG010106,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Doufouli,TG010107,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Katchenke,TG010108,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Koffiti,TG010109,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Langabou,TG010110,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
M'Poti,TG010111,MPoti,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Pagala Gare,TG010112,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Pagala Village,TG010113,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tchaloude,TG010114,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tchare-Baou,TG010115,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tchifama,TG010116,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tintchro,TG010117,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Waragni,TG010118,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Welly,TG010119,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Yaloumbe,TG010120,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Yegue,TG010121,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Boulohou,TG010201,,,,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Djarkpanga,TG010202,,,,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Kagnigbara,TG010203,,,,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Saiboude,TG010204,,,,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tindjassi,TG010205,,,,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Adjengere,TG010301,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Aouda,TG010302,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Bodjonde,TG010303,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Fazao,TG010304,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Kaniamboua,TG010305,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Kazaboua,TG010306,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Sessaro,TG010307,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Sotouboua,TG010308,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tabinde,TG010309,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
Tchebebe,TG010310,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
