admin1Name_en,admin1Name_ar,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ar,admin1AltName2_ar,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
East,الشرق,LY01,,,,,,Libya,ليبيا,LY,2018-11-13,2021-12-31,
West,الغرب,LY02,,,,,,Libya,ليبيا,LY,2018-11-13,2021-12-31,
South,الجنوب,LY03,,,,,,Libya,ليبيا,LY,2018-11-13,2021-12-31,
