admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Azuay,EC01,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Bolivar,EC02,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Cañar,EC03,Canar,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Carchi,EC04,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Cotopaxi,EC05,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Chimborazo,EC06,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
El Oro,EC07,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Esmeraldas,EC08,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Guayas,EC09,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Imbabura,EC10,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Loja,EC11,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Los Rios,EC12,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Manabi,EC13,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Morona Santiago,EC14,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Napo,EC15,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Pastaza,EC16,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Pichincha,EC17,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Tungurahua,EC18,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Zamora Chinchipe,EC19,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Galapagos,EC20,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Sucumbios,EC21,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Orellana,EC22,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Santo Domingo de los Tsachilas,EC23,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Santa Elena,EC24,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
Zona No Delimitada,EC90,,,,Ecuador (el),EC,2018-12-17,2019-07-31,
