admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Devonshire,BM01,,,,Bermudas,BM,2017-09-21,2019-05-22,
Hamilton,BM02,,,,Bermudas,BM,2017-09-21,2019-05-22,
Paget ,BM03,,,,Bermudas,BM,2017-09-21,2019-05-22,
Pembroke ,BM04,,,,Bermudas,BM,2017-09-21,2019-05-22,
Sandys,BM05,,,,Bermudas,BM,2017-09-21,2019-05-22,
Smith's,BM06,,,,Bermudas,BM,2017-09-21,2019-05-22,
Southampton ,BM07,,,,Bermudas,BM,2017-09-21,2019-05-22,
St. George's,BM08,,,,Bermudas,BM,2017-09-21,2019-05-22,
Warwick ,BM09,,,,Bermudas,BM,2017-09-21,2019-05-22,
,,,,,,,,,
