admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Chuquisaca,BO01,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
La Paz,BO02,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Cochabamba,BO03,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Oruro,BO04,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Potosí,BO05,Potosi,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Tarija,BO06,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Santa Cruz,BO07,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Beni,BO08,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
Pando,BO09,,,,Bolivia (Estado Plurinacional de),BO,2018-04-17,2020-05-14,
