admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Iquique,CL011,,,,Región de Tarapacá,CL01,Chile,CL,2020-05-18,2020-05-26,
Tamarugal,CL014,,,,Región de Tarapacá,CL01,Chile,CL,2020-05-18,2020-05-26,
Antofagasta,CL021,,,,Región de Antofagasta,CL02,Chile,CL,2020-05-18,2020-05-26,
El Loa,CL022,,,,Región de Antofagasta,CL02,Chile,CL,2020-05-18,2020-05-26,
Tocopilla,CL023,,,,Región de Antofagasta,CL02,Chile,CL,2020-05-18,2020-05-26,
Copiapó,CL031,,,,Región de Atacama,CL03,Chile,CL,2020-05-18,2020-05-26,
Chañaral,CL032,,,,Región de Atacama,CL03,Chile,CL,2020-05-18,2020-05-26,
Huasco,CL033,,,,Región de Atacama,CL03,Chile,CL,2020-05-18,2020-05-26,
Elqui,CL041,,,,Región de Coquimbo,CL04,Chile,CL,2020-05-18,2020-05-26,
Choapa,CL042,,,,Región de Coquimbo,CL04,Chile,CL,2020-05-18,2020-05-26,
Limarí,CL043,,,,Región de Coquimbo,CL04,Chile,CL,2020-05-18,2020-05-26,
Valparaíso,CL051,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
Isla de Pascua,CL052,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
Los Andes,CL053,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
Petorca,CL054,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
Quillota,CL055,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
San Antonio,CL056,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
San Felipe,CL057,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
Marga Marga,CL058,,,,Región de Valparaíso,CL05,Chile,CL,2020-05-18,2020-05-26,
Cachapoal,CL061,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2020-05-18,2020-05-26,
Cardenal Caro,CL062,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2020-05-18,2020-05-26,
Colchagua,CL063,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2020-05-18,2020-05-26,
Talca,CL071,,,,Región del Maule,CL07,Chile,CL,2020-05-18,2020-05-26,
Cauquenes,CL072,,,,Región del Maule,CL07,Chile,CL,2020-05-18,2020-05-26,
Curicó,CL073,,,,Región del Maule,CL07,Chile,CL,2020-05-18,2020-05-26,
Linares,CL074,,,,Región del Maule,CL07,Chile,CL,2020-05-18,2020-05-26,
Concepción,CL081,,,,Región del Bío-Bío,CL08,Chile,CL,2020-05-18,2020-05-26,
Arauco,CL082,,,,Región del Bío-Bío,CL08,Chile,CL,2020-05-18,2020-05-26,
Bío-Bío,CL083,,,,Región del Bío-Bío,CL08,Chile,CL,2020-05-18,2020-05-26,
Cautín,CL091,,,,Región de La Araucanía,CL09,Chile,CL,2020-05-18,2020-05-26,
Malleco,CL092,,,,Región de La Araucanía,CL09,Chile,CL,2020-05-18,2020-05-26,
Llanquihue,CL101,,,,Región de Los Lagos,CL10,Chile,CL,2020-05-18,2020-05-26,
Chiloe,CL102,,,,Región de Los Lagos,CL10,Chile,CL,2020-05-18,2020-05-26,
Osorno,CL103,,,,Región de Los Lagos,CL10,Chile,CL,2020-05-18,2020-05-26,
Palena,CL104,,,,Región de Los Lagos,CL10,Chile,CL,2020-05-18,2020-05-26,
Coyhaique,CL111,,,,Región de Aysén del Gral.Ibañez del Campo,CL11,Chile,CL,2020-05-18,2020-05-26,
Aysén,CL112,,,,Región de Aysén del Gral.Ibañez del Campo,CL11,Chile,CL,2020-05-18,2020-05-26,
Capitán Prat,CL113,,,,Región de Aysén del Gral.Ibañez del Campo,CL11,Chile,CL,2020-05-18,2020-05-26,
General Carrera,CL114,,,,Región de Aysén del Gral.Ibañez del Campo,CL11,Chile,CL,2020-05-18,2020-05-26,
Magallanes,CL121,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2020-05-18,2020-05-26,
Antártica Chilena,CL122,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2020-05-18,2020-05-26,
Tierra del Fuego,CL123,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2020-05-18,2020-05-26,
Ultima Esperanza,CL124,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2020-05-18,2020-05-26,
Santiago,CL131,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2020-05-18,2020-05-26,
Cordillera,CL132,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2020-05-18,2020-05-26,
Chacabuco,CL133,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2020-05-18,2020-05-26,
Maipo,CL134,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2020-05-18,2020-05-26,
Melipilla,CL135,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2020-05-18,2020-05-26,
Talagante,CL136,,,,Región Metropolitana de Santiago,CL13,Chile,CL,2020-05-18,2020-05-26,
Valdivia,CL141,,,,Región de Los Ríos,CL14,Chile,CL,2020-05-18,2020-05-26,
Ranco,CL142,,,,Región de Los Ríos,CL14,Chile,CL,2020-05-18,2020-05-26,
Arica,CL151,,,,Región de Arica y Parinacota,CL15,Chile,CL,2020-05-18,2020-05-26,
Parinacota,CL152,,,,Región de Arica y Parinacota,CL15,Chile,CL,2020-05-18,2020-05-26,
Diguillín,CL161,,,,Región de Ñuble,CL16,Chile,CL,2020-05-18,2020-05-26,
Itata,CL162,,,,Región de Ñuble,CL16,Chile,CL,2020-05-18,2020-05-26,
Punilla,CL163,,,,Región de Ñuble,CL16,Chile,CL,2020-05-18,2020-05-26,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
