admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Bafoulabe,ML010101,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Bamafélé,ML010102,Bamafele,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diakon,ML010103,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diallan,ML010104,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diokeli,ML010105,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Gounfan,ML010106,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Kontéla,ML010107,Kontela,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Koundian,ML010108,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Mahina,ML010109,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Niambia,ML010110,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Dinlin Oualia,ML010111,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Sidibela,ML010112,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Tomora,ML010113,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Béma,ML010201,Bema,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diangounté Camara,ML010202,Diangounte Camara,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Dianguirdé,ML010203,Dianguirde,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diema,ML010204,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diéoura,ML010205,Dieoura,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Dioumara Koussata,ML010206,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Fassoudebé,ML010207,Fassoudebe,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Fatao,ML010208,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Gomitradougou,ML010209,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Grouméra,ML010210,Groumera,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Guédébiné,ML010211,Guedebine,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Lakamané,ML010212,Lakamane,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Lambidou,ML010213,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Madiga Sacko,ML010214,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Sansankidé,ML010215,Sansankide,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Bangassi,ML010301,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Colimbiné,ML010302,Colimbine,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diamou,ML010303,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Djélébou,ML010304,Djelebou,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Falémé,ML010305,Faleme,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Fégui,ML010306,Fegui,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Gory Gopéla,ML010307,Gory Gopela,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Gouméra,ML010308,Goumera,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Guidimakan Keri Kaff,ML010309,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Hawa Dembaya,ML010310,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Karakoro,ML010311,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Kayes,ML010312,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Kéméné Tambo,ML010313,Kemene Tambo,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Khouloum,ML010314,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Koniakary,ML010315,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Koussané,ML010316,Koussane,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Liberté Dembaya,ML010317,Liberte Dembaya,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Logo,ML010318,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Maréna Diombougou,ML010319,Marena Diombougou,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Marintoumania,ML010320,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Sadiola,ML010321,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Sahel,ML010322,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Samé Diomgoma,ML010323,Same Diomgoma,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Ségala,ML010324,Segala,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
