admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Abia,NG001,Abia,,,Nigeria,NG,2016-11-29,2019-04-17,
Adamawa,NG002,Adamawa,,,Nigeria,NG,2016-11-29,2019-04-17,
Akwa Ibom,NG003,Akwa Ibom,,,Nigeria,NG,2016-11-29,2019-04-17,
Anambra,NG004,Anambra,,,Nigeria,NG,2016-11-29,2019-04-17,
Bauchi,NG005,Bauchi,,,Nigeria,NG,2016-11-29,2019-04-17,
Bayelsa,NG006,Bayelsa,,,Nigeria,NG,2016-11-29,2019-04-17,
Benue,NG007,Benue,,,Nigeria,NG,2016-11-29,2019-04-17,
Borno,NG008,Borno,,,Nigeria,NG,2016-11-29,2019-04-17,
Cross River,NG009,Cross River,,,Nigeria,NG,2016-11-29,2019-04-17,
Delta,NG010,Delta,,,Nigeria,NG,2016-11-29,2019-04-17,
Ebonyi,NG011,Ebonyi,,,Nigeria,NG,2016-11-29,2019-04-17,
Edo,NG012,Edo,,,Nigeria,NG,2016-11-29,2019-04-17,
Ekiti,NG013,Ekiti,,,Nigeria,NG,2016-11-29,2019-04-17,
Enugu,NG014,Enugu,,,Nigeria,NG,2016-11-29,2019-04-17,
Federal Capital Territory,NG015,Federal Capital Territory,,,Nigeria,NG,2016-11-29,2019-04-17,
Gombe,NG016,Gombe,,,Nigeria,NG,2016-11-29,2019-04-17,
Imo,NG017,Imo,,,Nigeria,NG,2016-11-29,2019-04-17,
Jigawa,NG018,Jigawa,,,Nigeria,NG,2016-11-29,2019-04-17,
Kaduna,NG019,Kaduna,,,Nigeria,NG,2016-11-29,2019-04-17,
Kano,NG020,Kano,,,Nigeria,NG,2016-11-29,2019-04-17,
Katsina,NG021,Katsina,,,Nigeria,NG,2016-11-29,2019-04-17,
Kebbi,NG022,Kebbi,,,Nigeria,NG,2016-11-29,2019-04-17,
Kogi,NG023,Kogi,,,Nigeria,NG,2016-11-29,2019-04-17,
Kwara,NG024,Kwara,,,Nigeria,NG,2016-11-29,2019-04-17,
Lagos,NG025,Lagos,,,Nigeria,NG,2016-11-29,2019-04-17,
Nasarawa,NG026,Nasarawa,,,Nigeria,NG,2016-11-29,2019-04-17,
Niger,NG027,Niger,,,Nigeria,NG,2016-11-29,2019-04-17,
Ogun,NG028,Ogun,,,Nigeria,NG,2016-11-29,2019-04-17,
Ondo,NG029,Ondo,,,Nigeria,NG,2016-11-29,2019-04-17,
Osun,NG030,Osun,,,Nigeria,NG,2016-11-29,2019-04-17,
Oyo,NG031,Oyo,,,Nigeria,NG,2016-11-29,2019-04-17,
Plateau,NG032,Plateau,,,Nigeria,NG,2016-11-29,2019-04-17,
Rivers,NG033,Rivers,,,Nigeria,NG,2016-11-29,2019-04-17,
Sokoto,NG034,Sokoto,,,Nigeria,NG,2016-11-29,2019-04-17,
Taraba,NG035,Taraba,,,Nigeria,NG,2016-11-29,2019-04-17,
Yobe,NG036,Yobe,,,Nigeria,NG,2016-11-29,2019-04-17,
Zamfara,NG037,Zamfara,,,Nigeria,NG,2016-11-29,2019-04-17,
