admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Agadez,NE001,,,,Niger,NE,2006-01-01,2019-09-12,
Diffa,NE002,,,,Niger,NE,2006-01-01,2019-09-12,
Dosso,NE003,,,,Niger,NE,2006-01-01,2019-09-12,
Maradi,NE004,,,,Niger,NE,2006-01-01,2019-09-12,
Tahoua,NE005,,,,Niger,NE,2006-01-01,2019-09-12,
Tillaberi,NE006,,,,Niger,NE,2006-01-01,2019-09-12,
Zinder,NE007,,,,Niger,NE,2006-01-01,2019-09-12,
Niamey,NE008,,,,Niger,NE,2006-01-01,2019-09-12,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
