admin2Name_sk,admin2Pcode,admin2RefName,admin2AltName1_sk,admin2AltName2_sk,admin1Name_sk,admin1Pcode,admin0Name_sk,admin0Pcode,date,validOn,validTo
Bratislava I,SK010001,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Bratislava II,SK010002,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Bratislava III,SK010003,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Bratislava IV,SK010004,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Bratislava V,SK010005,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Malacky,SK010006,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Pezinok,SK010007,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Senec,SK010008,,,,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
Dunajská Streda,SK021001,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
Galanta,SK021002,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
Hlohovec,SK021003,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
Piešťany,SK021004,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
Senica,SK021005,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
Skalica,SK021006,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
Trnava,SK021007,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
Bánovce nad Bebravou,SK022001,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Ilava,SK022002,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Myjava,SK022003,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Nové Mesto nad Váhom,SK022004,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Partizánske,SK022005,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Považská Bystrica,SK022006,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Prievidza,SK022007,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Púchov,SK022008,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Trenčín,SK022009,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
Komárno,SK023001,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
Levice,SK023002,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
Nitra,SK023003,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
Nové Zámky,SK023004,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
Šaľa,SK023005,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
Topoľčany,SK023006,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
Zlaté Moravce,SK023007,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
Bytča,SK031001,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Čadca,SK031002,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Dolný Kubín,SK031003,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Kysucké Nové Mesto,SK031004,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Liptovský Mikuláš,SK031005,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Martin,SK031006,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Námestovo,SK031007,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Ružomberok,SK031008,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Turčianske Teplice,SK031009,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Tvrdošín,SK031010,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Žilina,SK031011,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
Banská Bystrica,SK032001,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Banská Štiavnica,SK032002,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Brezno,SK032003,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Detva,SK032004,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Krupina,SK032005,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Lučenec,SK032006,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Poltár,SK032007,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Revúca,SK032008,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Rimavská Sobota,SK032009,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Veľký Krtíš,SK032010,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Žarnovica,SK032011,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Žiar nad Hronom,SK032012,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Zvolen,SK032013,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
Bardejov,SK041001,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Humenné,SK041002,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Kežmarok,SK041003,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Levoča,SK041004,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Medzilaborce,SK041005,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Poprad,SK041006,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Prešov,SK041007,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Sabinov,SK041008,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Snina,SK041009,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Stará Ľubovňa,SK041010,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Stropkov,SK041011,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Svidník,SK041012,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Vranov nad Topľou,SK041013,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
Gelnica,SK042001,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Košice - okolie,SK042002,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Košice I,SK042003,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Košice II,SK042004,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Košice III,SK042005,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Košice IV,SK042006,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Michalovce,SK042007,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Rožňava,SK042008,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Sobrance,SK042009,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
Spišská Nová Ves,SK042010,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
