admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Centrale,TG01,,,,Togo,TG,2020-12-16,2021-01-07,
Kara,TG02,,,,Togo,TG,2020-12-16,2021-01-07,
Maritime,TG03,,,,Togo,TG,2020-12-16,2021-01-07,
Plateaux,TG04,,,,Togo,TG,2020-12-16,2021-01-07,
Savanes,TG05,,,,Togo,TG,2020-12-16,2021-01-07,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
