admin1Name_en,admin1Name_th,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_th,admin1AltName2_th,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
Bangkok,กรุงเทพมหานคร,TH10,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samut Prakan,สมุทรปราการ,TH11,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nonthaburi,นนทบุรี,TH12,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pathum Thani,ปทุมธานี,TH13,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ang Thong,อ่างทอง,TH15,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lop Buri,ลพบุรี,TH16,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sing Buri,สิงห์บุรี,TH17,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chai Nat,ชัยนาท,TH18,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Saraburi,สระบุรี,TH19,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chon Buri,ชลบุรี,TH20,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Rayong,ระยอง,TH21,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chanthaburi,จันทบุรี,TH22,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Trat,ตราด,TH23,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chachoengsao,ฉะเชิงเทรา,TH24,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Prachin Buri,ปราจีนบุรี,TH25,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nakhon Nayok,นครนายก,TH26,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sa Kaeo,สระแก้ว,TH27,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nakhon Ratchasima,นครราชสีมา,TH30,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Buri Ram,บุรีรัมย์,TH31,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Surin,สุรินทร์,TH32,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Sa Ket,ศรีสะเกษ,TH33,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ubon Ratchathani,อุบลราชธานี,TH34,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Yasothon,ยโสธร,TH35,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chaiyaphum,ชัยภูมิ,TH36,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Amnat Charoen,อำนาจเจริญ,TH37,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bueng Kan,บึงกาฬ,TH38,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Bua Lam Phu,หนองบัวลำภู,TH39,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khon Kaen,ขอนแก่น,TH40,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Udon Thani,อุดรธานี,TH41,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Loei,เลย,TH42,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Khai,หนองคาย,TH43,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Maha Sarakham,มหาสารคาม,TH44,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Roi Et,ร้อยเอ็ด,TH45,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Kalasin,กาฬสินธุ์,TH46,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sakon Nakhon,สกลนคร,TH47,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nakhon Phanom,นครพนม,TH48,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mukdahan,มุกดาหาร,TH49,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chiang Mai,เชียงใหม่,TH50,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lamphun,ลำพูน,TH51,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lampang,ลำปาง,TH52,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Uttaradit,อุตรดิตถ์,TH53,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phrae,แพร่,TH54,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nan,น่าน,TH55,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phayao,พะเยา,TH56,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chiang Rai,เชียงราย,TH57,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mae Hong Son,แม่ฮ่องสอน,TH58,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nakhon Sawan,นครสวรรค์,TH60,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Uthai Thani,อุทัยธานี,TH61,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Kamphaeng Phet,กำแพงเพชร,TH62,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tak,ตาก,TH63,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sukhothai,สุโขทัย,TH64,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phitsanulok,พิษณุโลก,TH65,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phichit,พิจิตร,TH66,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phetchabun,เพชรบูรณ์,TH67,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ratchaburi,ราชบุรี,TH70,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Kanchanaburi,กาญจนบุรี,TH71,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Suphan Buri,สุพรรณบุรี,TH72,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nakhon Pathom,นครปฐม,TH73,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samut Sakhon,สมุทรสาคร,TH74,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samut Songkhram,สมุทรสงคราม,TH75,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phetchaburi,เพชรบุรี,TH76,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nakhon Si Thammarat,นครศรีธรรมราช,TH80,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Krabi,กระบี่,TH81,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phangnga,พังงา,TH82,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phuket,ภูเก็ต,TH83,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
