admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Bimbo,CF1111,Bimbo,,,Bimbo,CF111,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Damara,CF1121,Damara,,,Damara,CF112,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Bogangolo,CF1131,Bogangolo,,,Bogangolo,CF113,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Boali,CF1141,Boali,,,Boali,CF114,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Bossembélé,CF1151,Bossembele,,,Bossembélé,CF115,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
La Mbi,CF1152,La Mbi,,,Bossembélé,CF115,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Yaloké,CF1161,Yaloke,,,Yaloké,CF116,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Guézéli,CF1162,Gueli,,,Yaloké,CF116,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
Mbaiki,CF1211,Mbaiki,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Mbata,CF1212,Mbata,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Pissa,CF1213,Pissa,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Bogongo Gaza,CF1214,Bogongo Gaza,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Léssé,CF1215,Lesse,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Nola,CF1216,Nola,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Moboma,CF1217,Moboma,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Balé-Loko,CF1218,Bale-Loko,,,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Mongoumba,CF1221,Mongoumba,,,Mongoumba,CF122,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Lobaye,CF1232,Lobaye,,,Boda,CF123,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Boganangone,CF1241,Boganangone,,,Boganangone,CF124,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Boganda,CF1251,Boganda,,,Boganda,CF125,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
Haute-Batouri,CF2112,Haute-Batouri,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Ouakanga,CF2113,Ouakanga,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Basse-Mambéré,CF2114,Basse-Mambere,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Basse-Batouri,CF2115,Basse-Batouri,,,Berbérati,CF211,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Basse-Boumné,CF2121,Basse-Boumne,,,Gamboula,CF212,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Carnot,CF2131,Carnot,,,Carnot,CF213,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Senkpa-Mbaéré,CF2132,Senkpa-Mbaere,,,Carnot,CF213,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Haute-Boumbé,CF2141,Haute-Boumbe,,,Amada-Gaza,CF214,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Basse-Kadéi,CF2151,Basse-Kadei,,,Sosso-Nakombo,CF215,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Haute-Kadéi,CF2161,Haute-Kade,,,Dédé-Mokouba,CF216,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Topia,CF2171,Topia,,,Gadzi,CF217,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Mbali,CF2172,Mbali,,,Gadzi,CF217,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
Niem-Yelewa,CF2212,Niem-Yelewa,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Herman-Brousse,CF2213,Herman-Brousse,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Zotoua-Bangarem,CF2214,Zotoua-Bangarem,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Yénga,CF2215,Yenga,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Béa-Nana,CF2216,Bea-Nana,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Doaka-Koursou,CF2217,Doaka-Koursou,,,Bouar,CF221,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Bawi Tédoa,CF2221,Bawi Tedoa,,,Baoro,CF222,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Yoro-Samba Bougoulou,CF2222,Yoro-Samba Bougoulou,,,Baoro,CF222,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Baboua,CF2231,Baboua,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Goudrot,CF2232,Goudrot,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Bingué,CF2233,Bingue,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Koundé,CF2234,Kounde,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Fo,CF2235,Fo,,,Baboua,CF223,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Abba,CF2241,Abba,,,Abba,CF224,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Nadziboro,CF2242,Nadziboro,,,Abba,CF224,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
Nola,CF2311,Nola,,,Nola,CF231,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
Bilolo,CF2312,Bilolo,,,Nola,CF231,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
Salo,CF2313,Salo,,,Nola,CF231,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
