admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Boffa,GN001001,Boffa,,,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Boke,GN001002,Boke,,,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Gaoual,GN001003,Gaoual,,,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Koundara,GN001004,Koundara,,,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Fria,GN001005,Fria,,,Boke,GN001,Guinea,GN,2016-01-14,2016-03-04,
Conakry,GN002001,Conakry,,,Conakry,GN002,Guinea,GN,2016-01-14,2016-03-04,
Dabola,GN003001,Dabola,,,Faranah,GN003,Guinea,GN,2016-01-14,2016-03-04,
Dinguiraye,GN003002,Dinguiraye,,,Faranah,GN003,Guinea,GN,2016-01-14,2016-03-04,
Faranah,GN003003,Faranah,,,Faranah,GN003,Guinea,GN,2016-01-14,2016-03-04,
Kissidougou,GN003004,Kissidougou,,,Faranah,GN003,Guinea,GN,2016-01-14,2016-03-04,
Kankan,GN004001,Kankan,,,Kankan,GN004,Guinea,GN,2016-01-14,2016-03-04,
Kerouane,GN004002,Kerouane,,,Kankan,GN004,Guinea,GN,2016-01-14,2016-03-04,
Kouroussa,GN004003,Kouroussa,,,Kankan,GN004,Guinea,GN,2016-01-14,2016-03-04,
Mandiana,GN004004,Mandiana,,,Kankan,GN004,Guinea,GN,2016-01-14,2016-03-04,
Siguiri,GN004005,Siguiri,,,Kankan,GN004,Guinea,GN,2016-01-14,2016-03-04,
Coyah,GN005001,Coyah,,,Kindia,GN005,Guinea,GN,2016-01-14,2016-03-04,
Dubreka,GN005002,Dubreka,,,Kindia,GN005,Guinea,GN,2016-01-14,2016-03-04,
Forecariah,GN005003,Forecariah,,,Kindia,GN005,Guinea,GN,2016-01-14,2016-03-04,
Kindia,GN005004,Kindia,,,Kindia,GN005,Guinea,GN,2016-01-14,2016-03-04,
Telimele,GN005005,Telimele,,,Kindia,GN005,Guinea,GN,2016-01-14,2016-03-04,
Koubia,GN006001,Koubia,,,Labe,GN006,Guinea,GN,2016-01-14,2016-03-04,
Labe,GN006002,Labe,,,Labe,GN006,Guinea,GN,2016-01-14,2016-03-04,
Lelouma,GN006003,Lelouma,,,Labe,GN006,Guinea,GN,2016-01-14,2016-03-04,
Mali,GN006004,Mali,,,Labe,GN006,Guinea,GN,2016-01-14,2016-03-04,
Tougue,GN006005,Tougue,,,Labe,GN006,Guinea,GN,2016-01-14,2016-03-04,
Dalaba,GN007001,Dalaba,,,Mamou,GN007,Guinea,GN,2016-01-14,2016-03-04,
Mamou,GN007002,Mamou,,,Mamou,GN007,Guinea,GN,2016-01-14,2016-03-04,
Pita,GN007003,Pita,,,Mamou,GN007,Guinea,GN,2016-01-14,2016-03-04,
Beyla,GN008001,Beyla,,,Nzerekore,GN008,Guinea,GN,2016-01-14,2016-03-04,
Gueckedou,GN008002,Gueckedou,,,Nzerekore,GN008,Guinea,GN,2016-01-14,2016-03-04,
Lola,GN008003,Lola,,,Nzerekore,GN008,Guinea,GN,2016-01-14,2016-03-04,
Macenta,GN008004,Macenta,,,Nzerekore,GN008,Guinea,GN,2016-01-14,2016-03-04,
Nzerekore,GN008005,Nzerekore,,,Nzerekore,GN008,Guinea,GN,2016-01-14,2016-03-04,
Yomou,GN008006,Yomou,,,Nzerekore,GN008,Guinea,GN,2016-01-14,2016-03-04,
