admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Aderbissinat,NE001001001,,,,Aderbissinat,NE001001,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Arlit,NE001002001,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Dannet,NE001002002,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Gougaram,NE001002003,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Bilma,NE001003001,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Dirkou,NE001003002,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Djado,NE001003003,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Fachi,NE001003004,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Iferouane,NE001004001,,,,Iferouane,NE001004,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Timia,NE001004002,,,,Iferouane,NE001004,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Ingall,NE001005001,,,,Ingall,NE001005,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Agadez,NE001006001,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Dabaga,NE001006002,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Tabelot,NE001006003,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Tchirozerine,NE001006004,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
Bosso,NE002001001,,,,Bosso,NE002001,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Toumour,NE002001002,,,,Bosso,NE002001,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Chétimari,NE002002001,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Diffa,NE002002002,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Geskerou,NE002002003,,,,Diffa,NE002002,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Goudoumaria,NE002003001,,,,Goudoumaria,NE002003,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Foulatari,NE002004001,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
Maine-Soroa,NE002004002,,,,Maine-Soroa,NE002004,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
