admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Kayes,ML01,,,,Mali (le),ML,2015-06-01,2021-12-23,
Koulikoro,ML02,,,,Mali (le),ML,2015-06-01,2021-12-23,
Sikasso,ML03,,,,Mali (le),ML,2015-06-01,2021-12-23,
Ségou,ML04,Segou,,,Mali (le),ML,2015-06-01,2021-12-23,
Mopti,ML05,,,,Mali (le),ML,2015-06-01,2021-12-23,
Tombouctou,ML06,,,,Mali (le),ML,2015-06-01,2021-12-23,
Gao,ML07,,,,Mali (le),ML,2015-06-01,2021-12-23,
Kidal,ML08,,,,Mali (le),ML,2015-06-01,2021-12-23,
Bamako,ML09,,,,Mali (le),ML,2015-06-01,2021-12-23,
Menaka,ML10,,,,Mali (le),ML,2015-06-01,2021-12-23,
