admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Debubawi Keih Bahri,ER1,,,,Eritrea,ER,2020-04-29,2020-04-29,
Maekel,ER2,,,,Eritrea,ER,2020-04-29,2020-04-29,
Semienawi Keih Bahri,ER3,,,,Eritrea,ER,2020-04-29,2020-04-29,
Anseba,ER4,,,,Eritrea,ER,2020-04-29,2020-04-29,
Gash Barka,ER5,,,,Eritrea,ER,2020-04-29,2020-04-29,
Debub,ER6,,,,Eritrea,ER,2020-04-29,2020-04-29,
