admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Abako,UG30670101,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abanga,UG31000101,,,,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abarilela,UG20270101,,,,Amuria,UG202701,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Aber,UG30960101,,,,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abia,UG30670102,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abim,UG30640101,,,,Labwor,UG306401,Abim,UG3064,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abim Town Council,UG30640102,,,,Labwor,UG306401,Abim,UG3064,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abindu Division,UG30910101,,,,Nebbi Municipality,UG309101,Nebbi,UG3091,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abok,UG30960102,,,,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aboke,UG30790101,,,,Kole,UG307901,Kole,UG3079,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abongomola,UG30810101,,,,Kwania,UG308101,Kwania,UG3081,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Abuku,UG30780101,,,,Koboko,UG307801,Koboko,UG3078,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Acaba,UG30960103,,,,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Acholibur,UG30970101,,,,Aruu,UG309701,Pader,UG3097,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Acowa,UG20460101,,,,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Adeknino,UG30730101,,,,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adekokwok,UG30830101,,,,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adilang,UG30660101,,,,Agago,UG306601,Agago,UG3066,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adjumani Town Council,UG30650101,,,,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adok,UG30730102,,,,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adropi,UG30650102,,,,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aduku,UG30810102,,,,Kwania,UG308101,Kwania,UG3081,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aduku Town Council,UG30810103,,,,Kwania,UG308101,Kwania,UG3081,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adumi,UG30720201,,,,Ayivu,UG307202,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adwari,UG30950101,,,,Otuke,UG309501,Otuke,UG3095,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Adyel Division,UG30830201,,,,Lira Municipality,UG308302,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Agago Town Council,UG30660102,,,,Agago,UG306601,Agago,UG3066,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Agali,UG30830102,,,,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
