admin3Name_en,admin3Name_ru,admin3Name_ky,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ru,admin3AltName2_ru,admin3AltName1_ky,admin3AltName2_ky,admin2Name_en,admin2Name_ru,admin2Name_ky,admin2Pcode,admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo,admin3Type_en,admin3Type_ru,admin3Type_ky
Kara-Suu,Кара-Суйский,Кара-Суу,KG03211857000,,,,,,,,Aksy,Аксыйский,Аксы,KG03211000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Djerge-Tal,Джерге-Талский,Жерге-Тал,KG03211860000,,,,,,,,Aksy,Аксыйский,Аксы,KG03211000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Nazaraliev,Назаралиевский,Назаралиев,KG03211863000,,,,,,,,Aksy,Аксыйский,Аксы,KG03211000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG03215000901,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG03215000902,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG03215000907,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03215000908,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
Kochkor-Ata (city),Кочкор-Ата,Кочкор-Ата,KG03215600010,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,город районного значения,шаар
Aral,Аралский,Арал,KG03215804000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Byurgendi,Бюргендинский,Бүргөндү,KG03215819000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Dostuk,Достукский,Достук,KG03215821000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Massy,Массынский,Масы,KG03215836000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Mombekov,Момбековский,Момбеков,KG03215840000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Nookat,Ноокатский,Ноокат,KG03215846000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Sakaldi,Сакалдинский,Сакалды,KG03215851000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Shaydan,Шайданский,Шайдан,KG03215876000,,,,,,,,Nooken,Ноокенский,Ноокен,KG03215000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG03220000902,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG03220000907,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03220000908,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03220000909,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03220000910,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03220000911,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03220000912,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03220000913,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03220000914,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
Kurmanbek,Курманбекский,Курманбек,KG03220805000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Barpyn,Барпынский,Барпы,KG03220812000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kara-Almin,Кара-Алминский,Кара-Алма,KG03220825000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kara-Daryyan,Кара-Дарыянский,Кара-Дарья,KG03220828000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kegart,Кегартский,Көк-Арт,KG03220834000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kyz-Kel,Кыз-Кельский,Кыз-Көл,KG03220838000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kyzyl-Tuu,Кызыл-Тууский,Кызыл-Туу,KG03220842000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Lenin,Ленинский,Ленин,KG03220846000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Bagysh,Багышский,Багыш,KG03220851000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Saypidin-Atabekov,Сайпидин-Атабековский,Сайпидин Атабеков,KG03220854000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Suzak,Сузакский,Сузак,KG03220856000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Tash-Bulak,Таш-Булакский,Таш-Булак,KG03220863000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Yrys,Ырысский,Ырыс,KG03220874000,,,,,,,,Suzak,Сузакский,Сузак,KG03220000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG03223000901,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG03223000902,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG03223000907,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03223000908,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03223000909,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
Atay,Атайский,Атай,KG03223805000,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kok-Irim,Кок-Иримский,Көк-Ирим,KG03223806000,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kargalyk,Каргалыкский,Каргалык,KG03223812000,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Sary-Bulun,Сары-Булунский,Сары-Булуң,KG03223820000,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Toguz-Torou,Тогуз-Тороуский,Тогуз-Торо,KG03223825000,,,,,,,,Toguz-Toro,Тогуз-Тороуский,Тогуз-Торо,KG03223000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG03225000901,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG03225000902,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG03225000906,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Water reservoir,Водохранилище,Суу сактагыч
,,,KG03225000907,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03225000908,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03225000909,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03225000910,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03225000911,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03225000912,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
Toktogul (city),Токтогул,Токтогул,KG03225600010,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,город районного значения,шаар
Bel′-Aldyn,Бель-Алдынский,Бел-Алды,KG03225807000,Bel-Aldyn,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Djany-Djol',Джаны-Джольский,Жаңы-Жол,KG03225815000,Djany-Djol,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kyzyl-Ozgorush,Кызыл-Озгорушский,Кызыл-Өзгөрүш,KG03225820000,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Nichke-Say,Ничке-Сайский,Ничке-Сай,KG03225821000,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Ketmen′-Deben,Кетмень-Дебенский,Кетмен-Дөбө,KG03225825000,Ketmen-Deben,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Sary-Kamysh,Сары-Камышский,Сары-Камыш,KG03225835000,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Uch-Terek,Уч-Терекский,Үч-Терек,KG03225836000,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Aralbaev,Аралбаевский,Аралбаев,KG03225840000,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Abdy Suerkulov,Абды Суеркуловский,Абды Сүйөркулов,KG03225843000,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Cholpon-Ata,Чолпон-Атинский,Чолпон-Ата,KG03225853000,,,,,,,,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG03230000901,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG03230000902,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG03230000905,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Nature reserve,Заповедник,Корук
,,,KG03230000907,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03230000908,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03230000909,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03230000910,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG03230000911,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
Kanysh-Kyya,Каныш-Кыянский,Каныш-Кыя,KG03230822000,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Chatkal,Чаткальский,Чаткал,KG03230841000,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Sumsar,Сумсарский,Сумсар,KG03230844000,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Terek-Say,Терек-Сайский,Терек-Сай,KG03230847000,,,,,,,,Chatkal,Чаткальский,Чаткал,KG03230000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kyzyl-Djar,Кызыл-Джар,Кызыл-Жар,KG03420510010,,,,,,,,Tash-Kumir (city),г.Таш-Кумыр,Таш-Көмүр ш.,KG03420000010,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,semi-urban settlement,поселок городского типа,шаар тибиндеги посёлоктун (штп) белгиси
Shamaldy-Say,Шамалды-Сай,Шамалды-Сай,KG03420520010,,,,,,,,Tash-Kumir (city),г.Таш-Кумыр,Таш-Көмүр ш.,KG03420000010,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,semi-urban settlement,поселок городского типа,шаар тибиндеги посёлоктун (штп) белгиси
Kek-Tash,Кек-Таш,Көк-Таш,KG03430510010,,,,,,,,Mailuu-Suu (city),г.Майлуу-Суу,Майлуу-Суу ш.,KG03430000010,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,semi-urban settlement,поселок городского типа,шаар тибиндеги посёлоктун (штп) белгиси
Ketmen-Tebe,Кетмен-Тебе,Кетмен-Төбө,KG03440510010,,,,,,,,Kara-Kul (city),Кара-Куль,Кара-Көл ш.,KG03440000010,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,semi-urban settlement,поселок городского типа,шаар тибиндеги посёлоктун (штп) белгиси
,,,KG04210000901,,,,,,,,Ak-Tala,Ак-Талинский,Ак-Талаа,KG04210000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG04210000902,,,,,,,,Ak-Tala,Ак-Талинский,Ак-Талаа,KG04210000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
