admin2Name_pt,admin2Pcode,admin2RefName,admin2AltName1_pt,admin2AltName2_pt,admin1Name_pt,admin1Pcode,admin0Name_pt,admin0Pcode,date,validOn,validTo
Alta Floresta D'Oeste,BR1100015,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Ariquemes,BR1100023,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Cabixi,BR1100031,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Cacoal,BR1100049,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Cerejeiras,BR1100056,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Colorado do Oeste,BR1100064,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Corumbiara,BR1100072,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Costa Marques,BR1100080,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Espigão D'Oeste,BR1100098,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Guajará-Mirim,BR1100106,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Jaru,BR1100114,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Ji-Paraná,BR1100122,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Machadinho D'Oeste,BR1100130,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Nova Brasilândia D'Oeste,BR1100148,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Ouro Preto do Oeste,BR1100155,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Pimenta Bueno,BR1100189,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Porto Velho,BR1100205,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Presidente Médici,BR1100254,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Rio Crespo,BR1100262,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Rolim de Moura,BR1100288,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Santa Luzia D'Oeste,BR1100296,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Vilhena,BR1100304,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
São Miguel do Guaporé,BR1100320,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Nova Mamoré,BR1100338,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Alvorada D'Oeste,BR1100346,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Alto Alegre dos Parecis,BR1100379,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Alto Paraíso,BR1100403,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Buritis,BR1100452,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Novo Horizonte do Oeste,BR1100502,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Cacaulândia,BR1100601,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Campo Novo de Rondônia,BR1100700,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Candeias do Jamari,BR1100809,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Castanheiras,BR1100908,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Chupinguaia,BR1100924,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Cujubim,BR1100940,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Governador Jorge Teixeira,BR1101005,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Itapuã do Oeste,BR1101104,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Ministro Andreazza,BR1101203,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Mirante da Serra,BR1101302,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Monte Negro,BR1101401,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Nova União,BR1101435,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Parecis,BR1101450,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Pimenteiras do Oeste,BR1101468,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Primavera de Rondônia,BR1101476,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
São Felipe D'Oeste,BR1101484,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
São Francisco do Guaporé,BR1101492,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Seringueiras,BR1101500,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Teixeirópolis,BR1101559,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Theobroma,BR1101609,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Urupá,BR1101708,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Vale do Anari,BR1101757,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Vale do Paraíso,BR1101807,,,,Rondônia,BR11,Brasil,BR,2020-09-30,2020-09-30,
Acrelândia,BR1200013,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Assis Brasil,BR1200054,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Brasiléia,BR1200104,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Bujari,BR1200138,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Capixaba,BR1200179,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Cruzeiro do Sul,BR1200203,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Epitaciolândia,BR1200252,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Feijó,BR1200302,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Jordão,BR1200328,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Mâncio Lima,BR1200336,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Manoel Urbano,BR1200344,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Marechal Thaumaturgo,BR1200351,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Plácido de Castro,BR1200385,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Porto Walter,BR1200393,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Rio Branco,BR1200401,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Rodrigues Alves,BR1200427,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Santa Rosa do Purus,BR1200435,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Senador Guiomard,BR1200450,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Sena Madureira,BR1200500,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Tarauacá,BR1200609,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Xapuri,BR1200708,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Porto Acre,BR1200807,,,,Acre,BR12,Brasil,BR,2020-09-30,2020-09-30,
Alvarães,BR1300029,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Amaturá,BR1300060,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Anamã,BR1300086,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Anori,BR1300102,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Apuí,BR1300144,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Atalaia do Norte,BR1300201,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Autazes,BR1300300,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Barcelos,BR1300409,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Barreirinha,BR1300508,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Benjamin Constant,BR1300607,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Beruri,BR1300631,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Boa Vista do Ramos,BR1300680,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Boca do Acre,BR1300706,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Borba,BR1300805,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Caapiranga,BR1300839,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Canutama,BR1300904,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Carauari,BR1301001,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Careiro,BR1301100,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Careiro da Várzea,BR1301159,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Coari,BR1301209,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Codajás,BR1301308,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Eirunepé,BR1301407,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Envira,BR1301506,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Fonte Boa,BR1301605,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Guajará,BR1301654,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Humaitá,BR1301704,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Ipixuna,BR1301803,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Iranduba,BR1301852,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Itacoatiara,BR1301902,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Itamarati,BR1301951,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Itapiranga,BR1302009,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Japurá,BR1302108,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Juruá,BR1302207,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Jutaí,BR1302306,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Lábrea,BR1302405,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Manacapuru,BR1302504,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Manaquiri,BR1302553,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Manaus,BR1302603,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Manicoré,BR1302702,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Maraã,BR1302801,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Maués,BR1302900,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Nhamundá,BR1303007,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Nova Olinda do Norte,BR1303106,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Novo Airão,BR1303205,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Novo Aripuanã,BR1303304,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Parintins,BR1303403,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Pauini,BR1303502,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Presidente Figueiredo,BR1303536,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Rio Preto da Eva,BR1303569,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Santa Isabel do Rio Negro,BR1303601,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Santo Antônio do Içá,BR1303700,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
São Gabriel da Cachoeira,BR1303809,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
São Paulo de Olivença,BR1303908,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
São Sebastião do Uatumã,BR1303957,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Silves,BR1304005,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Tabatinga,BR1304062,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Tapauá,BR1304104,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Tefé,BR1304203,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Tonantins,BR1304237,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Uarini,BR1304260,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Urucará,BR1304302,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Urucurituba,BR1304401,,,,Amazonas,BR13,Brasil,BR,2020-09-30,2020-09-30,
Amajari,BR1400027,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Alto Alegre,BR1400050,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Boa Vista,BR1400100,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Bonfim,BR1400159,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Cantá,BR1400175,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Caracaraí,BR1400209,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Caroebe,BR1400233,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Iracema,BR1400282,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Mucajaí,BR1400308,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Normandia,BR1400407,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Pacaraima,BR1400456,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Rorainópolis,BR1400472,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
São João da Baliza,BR1400506,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
São Luiz,BR1400605,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Uiramutã,BR1400704,,,,Roraima,BR14,Brasil,BR,2020-09-30,2020-09-30,
Abaetetuba,BR1500107,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Abel Figueiredo,BR1500131,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Acará,BR1500206,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Afuá,BR1500305,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Água Azul do Norte,BR1500347,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Alenquer,BR1500404,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Almeirim,BR1500503,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Altamira,BR1500602,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Anajás,BR1500701,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Ananindeua,BR1500800,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
