admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Boke,GN001,Boke,,,Guinea,GN,2016-01-14,2016-03-04,
Conakry,GN002,Conakry,,,Guinea,GN,2016-01-14,2016-03-04,
Faranah,GN003,Faranah,,,Guinea,GN,2016-01-14,2016-03-04,
Kankan,GN004,Kankan,,,Guinea,GN,2016-01-14,2016-03-04,
Kindia,GN005,Kindia,,,Guinea,GN,2016-01-14,2016-03-04,
Labe,GN006,Labe,,,Guinea,GN,2016-01-14,2016-03-04,
Mamou,GN007,Mamou,,,Guinea,GN,2016-01-14,2016-03-04,
Nzerekore,GN008,Nzerekore,,,Guinea,GN,2016-01-14,2016-03-04,
