admin1Name_en,admin1Name_ar,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ar,admin1AltName2_ar,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Al-Hasakeh,الحسكة,SY08,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Aleppo,حلب,SY02,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Ar-Raqqa,الرقة,SY11,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
As-Sweida,السويداء,SY13,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Damascus,دمشق,SY01,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Dar'a,درعا,SY12,Dara,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Deir-ez-Zor,دير الزور,SY09,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Hama,حماة,SY05,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Homs,حمص,SY04,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Idleb,إدلب,SY07,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Lattakia,اللاذقية,SY06,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Quneitra,القنيطرة,SY14,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Rural Damascus,ريف دمشق,SY03,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
Tartous,طرطوس,SY10,,,,,,Syrian Arab Republic,الجمهورية العربية السورية,SY,2017-06-01,2020-12-17,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
