admin1Name_ro,admin1Pcode,admin1RefName,admin1AltName1_ro,admin1AltName2_ro,admin0Name_ro,admin0Pcode,date,validOn,validTo
Nord-Est,RO001,,,,România,RO,2022-03-09,2022-05-03,
Sud-Est,RO002,,,,România,RO,2022-03-09,2022-05-03,
Sud,RO003,,,,România,RO,2022-03-09,2022-05-03,
Sud-Vest,RO004,,,,România,RO,2022-03-09,2022-05-03,
Vest,RO005,,,,România,RO,2022-03-09,2022-05-03,
Nord-Vest,RO006,,,,România,RO,2022-03-09,2022-05-03,
Centru,RO007,,,,România,RO,2022-03-09,2022-05-03,
București-Ilfov,RO008,Bucuresti-Ilfov,,,România,RO,2022-03-09,2022-05-03,
