admin3Name_pt,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_pt,admin3AltName2_pt,admin3AltName1_en,admin3AltName2_en,admin2Name_pt,admin2Name_en,admin2Pcode,admin1Name_pt,admin1Name_en,admin1Pcode,admin0Name_pt,admin0Name_en,admin0Pcode,date,validOn,validTo
Ancuabe,,MZ010101,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mesa,,MZ010102,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Metoro,,MZ010103,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Balama,,MZ010201,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Impiri,,MZ010202,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Kuekue,,MZ010203,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mavala,,MZ010204,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiure,,MZ010301,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiure Velho,,MZ010302,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Katapua,,MZ010303,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mazeze,,MZ010304,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namogelia,,MZ010305,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ocua,,MZ010306,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Pemba,,MZ010401,,,,,,Cidade De Pemba,,MZ0104,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ibo,,MZ010501,,,,,,Ibo,,MZ0105,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Quirimba,,MZ010502,,,,,,Ibo,,MZ0105,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
