admin3Name_pt,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_pt,admin3AltName2_pt,admin3AltName1_en,admin3AltName2_en,admin2Name_pt,admin2Name_en,admin2Pcode,admin1Name_pt,admin1Name_en,admin1Pcode,admin0Name_pt,admin0Name_en,admin0Pcode,date,validOn,validTo
Chai,,MZ010601,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macomia,,MZ010602,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mucojo,,MZ010603,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Quiterajo,,MZ010604,,,,,,Macomia,,MZ0106,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mecufi,,MZ010701,,,,,,Mecufi,,MZ0107,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Murrebue,,MZ010702,,,,,,Mecufi,,MZ0107,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Meluco,,MZ010801,,,,,,Meluco,,MZ0108,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muaguide,,MZ010802,,,,,,Meluco,,MZ0108,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Metuge,,MZ010901,,,,,,Metuge,,MZ0109,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mieze,,MZ010902,,,,,,Metuge,,MZ0109,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Diaca,,MZ011001,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mbau,,MZ011002,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mocimboa Da Praia,,MZ011003,,,,,,Mocimboa Da Praia,,MZ0110,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mapupulo,,MZ011101,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mirate,,MZ011102,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Montepuez,,MZ011103,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nairoto,,MZ011104,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namanhumbir,,MZ011105,,,,,,Montepuez,,MZ0111,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chapa,,MZ011201,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Imbuo,,MZ011202,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mueda,,MZ011203,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
N'Gapa,,MZ011204,NGapa,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Negomano,,MZ011205,,,,,,Mueda,,MZ0112,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chitunda,,MZ011301,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Miteda,,MZ011302,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muidumbe,,MZ011303,,,,,,Muidumbe,,MZ0113,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Hucula,,MZ011401,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Machoca,,MZ011402,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Meloco,,MZ011403,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
N'Cumpe,,MZ011404,NCumpe,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namuno,,MZ011405,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Papai,,MZ011406,,,,,,Namuno,,MZ0114,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
M'Tamba,,MZ011501,MTamba,,,,,Nangade,,MZ0115,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nangade,,MZ011502,,,,,,Nangade,,MZ0115,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Olumbi,,MZ011601,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Palma,,MZ011602,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Pundanhar,,MZ011603,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Quionga,,MZ011604,,,,,,Palma,,MZ0116,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Bilibiza,,MZ011801,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mahate,,MZ011802,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Quissanga,,MZ011803,,,,,,Quissanga,,MZ0118,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macia,,MZ020101,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Makluane,,MZ020102,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mazivila,,MZ020103,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Messano,,MZ020104,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Praia De Bilene,,MZ020105,,,,,,Bilene,,MZ0201,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Alto Changane,,MZ020201,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chaimite,,MZ020202,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Changanine,,MZ020203,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chibuto,,MZ020204,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Godide,,MZ020205,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Malehice,,MZ020206,,,,,,Chibuto,,MZ0202,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Pafuri,,MZ020301,,,,,,Chicualacuala,,MZ0203,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Vila Eduardo Mondlane,,MZ020302,,,,,,Chicualacuala,,MZ0203,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chigubo,,MZ020401,,,,,,Chigubo,,MZ0204,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Dindiza,,MZ020402,,,,,,Chigubo,,MZ0204,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chokwe,,MZ020501,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lionde,,MZ020502,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macarretane,,MZ020503,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Xilembene,,MZ020504,,,,,,Chokwe,,MZ0205,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chongoene,,MZ020601,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Madzucane,,MZ020602,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nguzene,,MZ020603,,,,,,Chongoene,,MZ0206,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Xai-Xai,,MZ020701,,,,,,Cidade De Xai-Xai,,MZ0207,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Caniçado,,MZ020801,Canicado,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chivongoene,,MZ020802,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mubangoene,,MZ020803,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nalazi,,MZ020804,,,,,,Guija,,MZ0208,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chicumbane,,MZ020901,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chissano,,MZ020902,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zongoene,,MZ020903,,,,,,Limpopo,,MZ0209,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Combomune,,MZ021001,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mabalane,,MZ021002,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ntlavene,,MZ021003,,,,,,Mabalane,,MZ0210,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chibonzane,,MZ021101,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chidenguele,,MZ021102,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macuacua,,MZ021103,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mandlakaze,,MZ021104,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Xhalala,,MZ021105,,,,,,Mandlakaze,,MZ0211,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mapai,,MZ021201,,,,,,Mapai,,MZ0212,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Massangena,,MZ021301,,,,,,Massangena,,MZ0213,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mavue,,MZ021302,,,,,,Massangena,,MZ0213,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Massingir,,MZ021401,,,,,,Massingir,,MZ0214,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mavodze,,MZ021402,,,,,,Massingir,,MZ0214,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zulo,,MZ021403,,,,,,Massingir,,MZ0214,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Inhambane,,MZ030101,,,,,,Cidade De Inhambane,,MZ0301,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Funhalouro,,MZ030201,,,,,,Funhalouro,,MZ0302,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Tome,,MZ030202,,,,,,Funhalouro,,MZ0302,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nova Mambone,,MZ030301,,,,,,Govuro,,MZ0303,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Save,,MZ030302,,,,,,Govuro,,MZ0303,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Homoine,,MZ030401,,,,,,Homoine,,MZ0304,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Pembe,,MZ030402,,,,,,Homoine,,MZ0304,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inharrime,,MZ030501,,,,,,Inharrime,,MZ0305,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mocumbi,,MZ030502,,,,,,Inharrime,,MZ0305,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Bazaruto,,MZ030601,,,,,,Inhassoro,,MZ0306,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhassoro,,MZ030602,,,,,,Inhassoro,,MZ0306,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cumbana,,MZ030701,,,,,,Jangamo,,MZ0307,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Jangamo,,MZ030702,,,,,,Jangamo,,MZ0307,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mabote,,MZ030801,,,,,,Mabote,,MZ0308,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zimane,,MZ030802,,,,,,Mabote,,MZ0308,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zinave,,MZ030803,,,,,,Mabote,,MZ0308,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chicomo,,MZ030901,,,,,,Massinga,,MZ0309,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Massinga,,MZ030902,,,,,,Massinga,,MZ0309,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maxixe,,MZ031001,,,,,,Maxixe,,MZ0310,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Morrumbene,,MZ031101,,,,,,Morrumbene,,MZ0311,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mucoduene,,MZ031102,,,,,,Morrumbene,,MZ0311,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mawayela,,MZ031201,,,,,,Panda,,MZ0312,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Panda,,MZ031202,,,,,,Panda,,MZ0312,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Urrene,,MZ031203,,,,,,Panda,,MZ0312,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mapinhane,,MZ031301,,,,,,Vilankulo,,MZ0313,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Vilankulo,,MZ031302,,,,,,Vilankulo,,MZ0313,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Quissico,,MZ031401,,,,,,Zavala,,MZ0314,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zandamela,,MZ031402,,,,,,Zavala,,MZ0314,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Catandica,,MZ040101,,,,,,Barue,,MZ0401,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Choa,,MZ040102,,,,,,Barue,,MZ0401,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhampassa,,MZ040103,,,,,,Barue,,MZ0401,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Chimoio,,MZ040201,,,,,,Cidade De Chimoio,,MZ0402,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Amatongas,,MZ040301,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cafumpe,,MZ040302,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gondola,,MZ040303,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inchope,,MZ040304,,,,,,Gondola,,MZ0403,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Guro,,MZ040401,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mandie,,MZ040402,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mungari,,MZ040403,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhamassonge,,MZ040404,,,,,,Guro,,MZ0404,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macate,,MZ040501,,,,,,Macate,,MZ0405,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zembe,,MZ040502,,,,,,Macate,,MZ0405,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chitobe,,MZ040601,,,,,,Machaze,,MZ0406,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Save,,MZ040602,,,,,,Machaze,,MZ0406,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macossa,,MZ040701,,,,,,Macossa,,MZ0407,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nguawala,,MZ040702,,,,,,Macossa,,MZ0407,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhamagua,,MZ040703,,,,,,Macossa,,MZ0407,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Machipanda,,MZ040801,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Manica,,MZ040802,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mavonde,,MZ040803,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Messica,,MZ040804,,,,,,Manica,,MZ0408,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiurairue,,MZ040901,,,,,,Mossurize,,MZ0409,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Dacata,,MZ040902,,,,,,Mossurize,,MZ0409,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Espungabera,,MZ040903,,,,,,Mossurize,,MZ0409,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Dombe,,MZ041001,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muoha,,MZ041002,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Rotanda,,MZ041003,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sussundenga,,MZ041004,,,,,,Sussundenga,,MZ0410,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Bazua,,MZ041101,,,,,,Tambara,,MZ0411,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhacafula,,MZ041102,,,,,,Tambara,,MZ0411,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhacolo,,MZ041103,,,,,,Tambara,,MZ0411,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Matsinho,,MZ041201,,,,,,Vanduzi,,MZ0412,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Vanduzi,,MZ041202,,,,,,Vanduzi,,MZ0412,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Boane,,MZ050101,,,,,,Boane,,MZ0501,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Matola Rio,,MZ050102,,,,,,Boane,,MZ0501,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade Da Matola,,MZ050201,,,,,,Cidade Da Matola,,MZ0502,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Magude,,MZ050301,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mahele,,MZ050302,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mapulanguene,,MZ050303,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Motaze,,MZ050304,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Panjane,,MZ050305,,,,,,Magude,,MZ0503,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Calanga,,MZ050401,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ilha Josina Machel,,MZ050402,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maluana,,MZ050403,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Manhiça,,MZ050404,Manhica,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Palmeira,,MZ050405,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Xinavane,,MZ050406,,,,,,Manhiça,,MZ0504,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Machubo,,MZ050501,,,,,,Marracuene,,MZ0505,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marracuene,,MZ050502,,,,,,Marracuene,,MZ0505,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Bela Vista,,MZ050601,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Catuane,,MZ050602,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mugazine,,MZ050603,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ndelane,,MZ050604,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
