admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Amazonas,PE01,,,,Perú (el),PE,2015-07-24,2020-07-14,
Ancash,PE02,,,,Perú (el),PE,2015-07-24,2020-07-14,
Apurimac,PE03,,,,Perú (el),PE,2015-07-24,2020-07-14,
Arequipa,PE04,,,,Perú (el),PE,2015-07-24,2020-07-14,
Ayacucho,PE05,,,,Perú (el),PE,2015-07-24,2020-07-14,
Cajamarca,PE06,,,,Perú (el),PE,2015-07-24,2020-07-14,
Callao,PE07,,,,Perú (el),PE,2015-07-24,2020-07-14,
Cusco,PE08,,,,Perú (el),PE,2015-07-24,2020-07-14,
Huancavelica,PE09,,,,Perú (el),PE,2015-07-24,2020-07-14,
Huanuco,PE10,,,,Perú (el),PE,2015-07-24,2020-07-14,
Ica,PE11,,,,Perú (el),PE,2015-07-24,2020-07-14,
Junin,PE12,,,,Perú (el),PE,2015-07-24,2020-07-14,
La Libertad,PE13,,,,Perú (el),PE,2015-07-24,2020-07-14,
Lambayeque,PE14,,,,Perú (el),PE,2015-07-24,2020-07-14,
Lima,PE15,,,,Perú (el),PE,2015-07-24,2020-07-14,
Loreto,PE16,,,,Perú (el),PE,2015-07-24,2020-07-14,
Madre de Dios,PE17,,,,Perú (el),PE,2015-07-24,2020-07-14,
Moquegua,PE18,,,,Perú (el),PE,2015-07-24,2020-07-14,
Pasco,PE19,,,,Perú (el),PE,2015-07-24,2020-07-14,
Piura,PE20,,,,Perú (el),PE,2015-07-24,2020-07-14,
Puno,PE21,,,,Perú (el),PE,2015-07-24,2020-07-14,
San Martin,PE22,,,,Perú (el),PE,2015-07-24,2020-07-14,
Tacna,PE23,,,,Perú (el),PE,2015-07-24,2020-07-14,
Tumbes,PE24,,,,Perú (el),PE,2015-07-24,2020-07-14,
Ucayali,PE25,,,,Perú (el),PE,2015-07-24,2020-07-14,
