admin1Name_es,admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin1AltName1_en,admin1AltName2_en,admin0Name_es,admin0Name_en,admin0Pcode,date,validOn,validTo
Región Cibao Nordeste,,DO01,Region Cibao Nordeste,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Cibao Noroeste,,DO02,Region Cibao Noroeste,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Cibao Norte,,DO03,Region Cibao Norte,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Cibao Sur,,DO04,Region Cibao Sur,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región El Valle,,DO05,Region El Valle,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Enriquillo,,DO06,Region Enriquillo,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Higuamo,,DO07,Region Higuamo,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Ozama,,DO08,Region Ozama,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Valdesia,,DO09,Region Valdesia,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Región Yuma,,DO10,Region Yuma,,,,,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
