admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Barbuda,AG01,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
Redonda,AG02,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
Saint George,AG03,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
Saint John's,AG04,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
Saint Mary,AG05,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
Saint Paul,AG06,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
Saint Peter,AG07,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
Saint Philip,AG08,,,,Antigua and Barbuda,AG,2017-09-07,2019-11-28,
