admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Bubanza,BI001001,Bubanza,Bubanza (Bubanza),,Bubanza,BI001,Burundi,BI,2005-09-30,2017-11-03,
Gihanga,BI001002,Gihanga,Gihanga (Bubanza),,Bubanza,BI001,Burundi,BI,2005-09-30,2017-11-03,
Mpanda,BI001003,Mpanda,Mpanda (Bubanza),,Bubanza,BI001,Burundi,BI,2005-09-30,2017-11-03,
Musigati,BI001004,Musigati,Musigati (Bubanza),,Bubanza,BI001,Burundi,BI,2005-09-30,2017-11-03,
Rugazi,BI001005,Rugazi,Rugazi (Bubanza),,Bubanza,BI001,Burundi,BI,2005-09-30,2017-11-03,
Isale,BI002002,Isale,Isale (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Kabezi,BI002003,Kabezi,Kabezi (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Kanyosha1,BI002004,Kanyosha1,Kanyosha1 (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Mubimbi,BI002005,Mubimbi,Mubimbi (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Mugongomanga,BI002006,Mugongomanga,Mugongomanga (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Mukike,BI002008,Mukike,Mukike (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Mutambu,BI002009,Mutambu,Mutambu (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Mutimbuzi,BI002010,Mutimbuzi,Mutimbuzi (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Nyabiraba,BI002012,Nyabiraba,Nyabiraba (Bujumbura Rural),,Bujumbura Rural,BI002,Burundi,BI,2005-09-30,2017-11-03,
Bururi,BI003002,Bururi,Bururi (Bururi),,Bururi,BI003,Burundi,BI,2005-09-30,2017-11-03,
Matana,BI003004,Matana,Matana (Bururi),,Bururi,BI003,Burundi,BI,2005-09-30,2017-11-03,
Mugamba,BI003005,Mugamba,Mugamba (Bururi),,Bururi,BI003,Burundi,BI,2005-09-30,2017-11-03,
Rutovu,BI003007,Rutovu,Rutovu (Bururi),,Bururi,BI003,Burundi,BI,2005-09-30,2017-11-03,
Songa,BI003008,Songa,Songa (Bururi),,Bururi,BI003,Burundi,BI,2005-09-30,2017-11-03,
Vyanda,BI003009,Vyanda,Vyanda (Bururi),,Bururi,BI003,Burundi,BI,2005-09-30,2017-11-03,
Cankuzo,BI004001,Cankuzo,Cankuzo (Cankuzo),,Cankuzo,BI004,Burundi,BI,2005-09-30,2017-11-03,
Cendajuru,BI004002,Cendajuru,Cendajuru (Cankuzo),,Cankuzo,BI004,Burundi,BI,2005-09-30,2017-11-03,
Gisagara,BI004003,Gisagara,Gisagara (Cankuzo),,Cankuzo,BI004,Burundi,BI,2005-09-30,2017-11-03,
Kigamba,BI004004,Kigamba,Kigamba (Cankuzo),,Cankuzo,BI004,Burundi,BI,2005-09-30,2017-11-03,
Mishiha,BI004005,Mishiha,Mishiha (Cankuzo),,Cankuzo,BI004,Burundi,BI,2005-09-30,2017-11-03,
Buganda,BI005001,Buganda,Buganda (Cibitoke),,Cibitoke,BI005,Burundi,BI,2005-09-30,2017-11-03,
Bukinanyana,BI005002,Bukinanyana,Bukinanyana (Cibitoke),,Cibitoke,BI005,Burundi,BI,2005-09-30,2017-11-03,
Mabayi,BI005003,Mabayi,Mabayi (Cibitoke),,Cibitoke,BI005,Burundi,BI,2005-09-30,2017-11-03,
Mugina,BI005004,Mugina,Mugina (Cibitoke),,Cibitoke,BI005,Burundi,BI,2005-09-30,2017-11-03,
Murwi,BI005005,Murwi,Murwi (Cibitoke),,Cibitoke,BI005,Burundi,BI,2005-09-30,2017-11-03,
Rugombo,BI005006,Rugombo,Rugombo (Cibitoke),,Cibitoke,BI005,Burundi,BI,2005-09-30,2017-11-03,
Bugendana,BI006001,Bugendana,Bugendana (Gitega),,Gitega,BI006,Burundi,BI,2005-09-30,2017-11-03,
Bukirasazi,BI006002,Bukirasazi,Bukirasazi (Gitega),,Gitega,BI006,Burundi,BI,2005-09-30,2017-11-03,
Buraza,BI006003,Buraza,Buraza (Gitega),,Gitega,BI006,Burundi,BI,2005-09-30,2017-11-03,
Giheta,BI006004,Giheta,Giheta (Gitega),,Gitega,BI006,Burundi,BI,2005-09-30,2017-11-03,
Gishubi,BI006005,Gishubi,Gishubi (Gitega),,Gitega,BI006,Burundi,BI,2005-09-30,2017-11-03,
Gitega,BI006006,Gitega,Gitega (Gitega),,Gitega,BI006,Burundi,BI,2005-09-30,2017-11-03,
Itaba,BI006007,Itaba,Itaba (Gitega),,Gitega,BI006,Burundi,BI,2005-09-30,2017-11-03,
