admin2Name_en,admin2Name_hy,admin2Name_ru,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_hy,admin2AltName2_hy,admin2AltName1_ru,admin2AltName2_ru,admin1Name_en,admin1Name_hy,admin1Name_ru,admin1Pcode,admin0Name_en,admin0Name_hy,admin0Name_ru,admin0Pcode,date,validOn,validTo
Goris,Գորիս,Горис,AM091,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Kapan,Կապան,Капан,AM092,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Meghri,Մեղրի,Мегри,AM093,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Sisian,Սիսիան,Сисиан,AM094,,,,,,,,Syunik,Սյունիք,Сюникская,AM09,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Yeghegnadzor,Եղեգնաձոր,Егегнадзор,AM101,,,,,,,,Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Vayk,Վայք,Вайк,AM102,,,,,,,,Vayots Dzor,Վայոց Ձոր,Вайоцдзорская,AM10,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Idjevan,Իջևան,Иджеван,AM111,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Noyemberyan,Նոյեմբերյան,Ноемберян,AM112,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Tavush,Տավուշ,Тавуш,AM113,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Dilidjan,Դիլիջան,Дилиджан,AM114,,,,,,,,Tavush,Տավուշ,Тавушская,AM11,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
