admin1Name_pt,admin1Pcode,admin1RefName,admin1AltName1_pt,admin1AltName2_pt,admin0Name_pt,admin0Pcode,date,validOn,validTo
Rondônia,BR11,,,,Brasil,BR,2020-09-30,2020-09-30,
Acre,BR12,,,,Brasil,BR,2020-09-30,2020-09-30,
Amazonas,BR13,,,,Brasil,BR,2020-09-30,2020-09-30,
Roraima,BR14,,,,Brasil,BR,2020-09-30,2020-09-30,
Pará,BR15,,,,Brasil,BR,2020-09-30,2020-09-30,
Amapá,BR16,,,,Brasil,BR,2020-09-30,2020-09-30,
Tocantins,BR17,,,,Brasil,BR,2020-09-30,2020-09-30,
Maranhão,BR21,,,,Brasil,BR,2020-09-30,2020-09-30,
Piauí,BR22,,,,Brasil,BR,2020-09-30,2020-09-30,
Ceará,BR23,,,,Brasil,BR,2020-09-30,2020-09-30,
Rio Grande do Norte,BR24,,,,Brasil,BR,2020-09-30,2020-09-30,
Paraíba,BR25,,,,Brasil,BR,2020-09-30,2020-09-30,
Pernambuco,BR26,,,,Brasil,BR,2020-09-30,2020-09-30,
Alagoas,BR27,,,,Brasil,BR,2020-09-30,2020-09-30,
Sergipe,BR28,,,,Brasil,BR,2020-09-30,2020-09-30,
Bahia,BR29,,,,Brasil,BR,2020-09-30,2020-09-30,
Minas Gerais,BR31,,,,Brasil,BR,2020-09-30,2020-09-30,
Espírito Santo,BR32,,,,Brasil,BR,2020-09-30,2020-09-30,
Rio de Janeiro,BR33,,,,Brasil,BR,2020-09-30,2020-09-30,
São Paulo,BR35,,,,Brasil,BR,2020-09-30,2020-09-30,
Paraná,BR41,,,,Brasil,BR,2020-09-30,2020-09-30,
Santa Catarina,BR42,,,,Brasil,BR,2020-09-30,2020-09-30,
Rio Grande do Sul,BR43,,,,Brasil,BR,2020-09-30,2020-09-30,
Mato Grosso do Sul,BR50,,,,Brasil,BR,2020-09-30,2020-09-30,
Mato Grosso,BR51,,,,Brasil,BR,2020-09-30,2020-09-30,
Goiás,BR52,,,,Brasil,BR,2020-09-30,2020-09-30,
Distrito Federal,BR53,,,,Brasil,BR,2020-09-30,2020-09-30,
