admin3Name_en,admin3Name_ua,admin3Name_ru,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ua,admin3AltName2_ua,admin3AltName1_ru,admin3AltName2_ru,admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,admin0Name_en,admin0Name_ua,admin0Name_ru,admin0Pcode,date,validOn,validTo,admin3ClassCode,admin3ClassType,admin3PoliticalType,admin3pcode2016,admin2ClassType,admin1ClassType
Simferopolska,Сімферопольська,Симферопольский,UA0110100000,Simferopolska,,,,,,,Simferopolska,Сімферопольська,Симферопольский,UA01101,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,110100000,міська рада,область
Hresivska,Гресівська,Грэсовский,UA0110165600,Hresivska,,,,,,,Simferopolska,Сімферопольська,Симферопольский,UA01101,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,110165600,міська рада,область
Alushtynska,Алуштинська,Алуштинский,UA0110300000,Alushtynska,,,,,,,Alushtynska,Алуштинська,Алуштинский,UA01103,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,110300000,міська рада,область
Partenitska,Партенітська,Партенитский,UA0110345400,Partenitska,,,,,,,Alushtynska,Алуштинська,Алуштинский,UA01103,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,110345400,міська рада,область
Izobilnenska,Ізобільненська,Изобильненский,UA0110390900,Izobilnenska,,,,,,,Alushtynska,Алуштинська,Алуштинский,UA01103,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,110390900,міська рада,область
Luchystivska,Лучистівська,Лучистовский,UA0110391400,Luchystivska,,,,,,,Alushtynska,Алуштинська,Алуштинский,UA01103,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,110391400,міська рада,область
Malomaiatska,Маломаяцька,Маломаякский,UA0110391800,Malomaiatska,,,,,,,Alushtynska,Алуштинська,Алуштинский,UA01103,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,110391800,міська рада,область
Malorichenska,Малоріченська,Малореченский,UA0110392100,Malorichenska,,,,,,,Alushtynska,Алуштинська,Алуштинский,UA01103,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,110392100,міська рада,область
Pryvitnenska,Привітненська,Приветненский,UA0110393000,Pryvitnenska,,,,,,,Alushtynska,Алуштинська,Алуштинский,UA01103,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,110393000,міська рада,область
Dzhankoiska,Джанкойська,Джанкойский,UA0110600000,Dzhankoiska,,,,,,,Dzhankoiska,Джанкойська,Джанкойский,UA01106,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,110600000,міська рада,область
