admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Alibori,BJ01,,,,Benin,BJ,2015-08-07,2021-12-31,
Atakora,BJ02,,,,Benin,BJ,2015-08-07,2021-12-31,
Atlantique,BJ03,,,,Benin,BJ,2015-08-07,2021-12-31,
Borgou,BJ04,,,,Benin,BJ,2015-08-07,2021-12-31,
Collines,BJ05,,,,Benin,BJ,2015-08-07,2021-12-31,
Couffo,BJ06,,,,Benin,BJ,2015-08-07,2021-12-31,
Donga,BJ07,,,,Benin,BJ,2015-08-07,2021-12-31,
Littoral,BJ08,,,,Benin,BJ,2015-08-07,2021-12-31,
Mono,BJ09,,,,Benin,BJ,2015-08-07,2021-12-31,
Oueme,BJ10,,,,Benin,BJ,2015-08-07,2021-12-31,
Plateau,BJ11,,,,Benin,BJ,2015-08-07,2021-12-31,
Zou,BJ12,,,,Benin,BJ,2015-08-07,2021-12-31,
