admin2Name_pt,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_pt,admin2AltName2_pt,admin2AltName1_en,admin2AltName2_en,admin1Name_pt,admin1Name_en,admin1Pcode,admin0Name_pt,admin0Name_en,admin0Pcode,date,validOn,validTo
Ancuabe,,MZ0101,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Balama,,MZ0102,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chiure,,MZ0103,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Pemba,,MZ0104,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ibo,,MZ0105,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macomia,,MZ0106,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mecufi,,MZ0107,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Meluco,,MZ0108,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Metuge,,MZ0109,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mocimboa Da Praia,,MZ0110,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Montepuez,,MZ0111,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mueda,,MZ0112,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Muidumbe,,MZ0113,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Namuno,,MZ0114,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nangade,,MZ0115,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Palma,,MZ0116,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Quissanga,,MZ0118,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Bilene,,MZ0201,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chibuto,,MZ0202,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chicualacuala,,MZ0203,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chigubo,,MZ0204,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chokwe,,MZ0205,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chongoene,,MZ0206,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Xai-Xai,,MZ0207,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Guija,,MZ0208,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Limpopo,,MZ0209,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mabalane,,MZ0210,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mandlakaze,,MZ0211,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mapai,,MZ0212,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Massangena,,MZ0213,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Massingir,,MZ0214,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Inhambane,,MZ0301,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Funhalouro,,MZ0302,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Govuro,,MZ0303,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Homoine,,MZ0304,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Inharrime,,MZ0305,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Inhassoro,,MZ0306,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Jangamo,,MZ0307,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mabote,,MZ0308,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Massinga,,MZ0309,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maxixe,,MZ0310,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Morrumbene,,MZ0311,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Panda,,MZ0312,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Vilankulo,,MZ0313,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zavala,,MZ0314,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Barue,,MZ0401,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Chimoio,,MZ0402,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Gondola,,MZ0403,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Guro,,MZ0404,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macate,,MZ0405,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Machaze,,MZ0406,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macossa,,MZ0407,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Manica,,MZ0408,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mossurize,,MZ0409,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Sussundenga,,MZ0410,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Tambara,,MZ0411,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Vanduzi,,MZ0412,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Boane,,MZ0501,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade Da Matola,,MZ0502,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Magude,,MZ0503,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Manhiça,,MZ0504,Manhica,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Marracuene,,MZ0505,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Matutuine,,MZ0506,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Moamba,,MZ0507,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Namaacha,,MZ0508,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Maputo,,MZ0601,,,,,,Maputo City,,MZ06,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Angoche,,MZ0701,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Nampula,,MZ0702,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Erati,,MZ0703,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ilha De Moçambique,,MZ0704,Ilha De Mocambique,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Lalaua,,MZ0705,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Larde,,MZ0706,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Liúpo,,MZ0707,Liupo,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Malema,,MZ0708,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Meconta,,MZ0709,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mecuburi,,MZ0710,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Memba,,MZ0711,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mogincual,,MZ0712,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mogovolas,,MZ0713,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Moma,,MZ0714,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Monapo,,MZ0715,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mossuril,,MZ0716,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Muecate,,MZ0717,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Murrupula,,MZ0718,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nacala,,MZ0719,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nacala-A-Velha,,MZ0720,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nacaroa,,MZ0721,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Rapale,,MZ0722,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ribaue,,MZ0723,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chimbonila,,MZ0801,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Lichinga,,MZ0802,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cuamba,,MZ0803,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ilha Licom,,MZ0804,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ilha Risunodo,,MZ0805,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Lago,,MZ0806,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Lago Niassa,,MZ0807,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
