admin1Name_en,admin1Name_ar,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ar,admin1AltName2_ar,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Boujdour,,EH01,,Bojador,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Es Semara,,EH02,,Smara,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Laayoune,,EH03,,El Aaiún,,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
Oued el Dahab,,EH04,,Ed Dakhla,Oued Eddahab,,,Western Sahara,الصحراء الغربية,EH,2021-04-08,2021-04-08,
