admin1Name_en,admin1Name_ar,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ar,admin1AltName2_ar,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Cairo,القاهرة,EG01,Cairo,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Alexandria,الاسكندرية,EG02,Alexandria,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Port Said,بورسعيد,EG03,Port Said,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Suez,السويس,EG04,Suez,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Damietta,دمياط,EG11,Damietta,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Dakahlia,الدقهلية,EG12,Dakahlia,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Sharkia,الشرقية,EG13,Sharkia,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kalyoubia,القليوبية,EG14,Kalyoubia,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Kafr El-Shikh,كفر الشيخ,EG15,Kafr El-Shikh,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Gharbia,الغربية,EG16,Gharbia,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Menoufia,المنوفية,EG17,Menoufia,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Behera,البحيرة,EG18,Behera,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Ismailia,الإسماعيلية,EG19,Ismailia,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Giza,الجيزة,EG21,Giza,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Beni Suef,بنى سويف,EG22,Beni Suef,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Fayoum,الفيوم,EG23,Fayoum,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Menia,المنيا,EG24,Menia,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Assiut,أسيوط,EG25,Assiut,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Suhag,سوهاج,EG26,Suhag,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qena,قنا,EG27,Qena,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Aswan,أسوان,EG28,Aswan,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Luxor,مدينة الأقصر,EG29,Luxor,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Red Sea,البحر الأحمر,EG31,Red Sea,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
New Valley,الوادى الجديد,EG32,New Valley,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Matrouh,مطروح,EG33,Matrouh,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
North Sinai,شمال سيناء,EG34,North Sinai,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
South Sinai,جنوب سيناء,EG35,South Sinai,,,,,Egypt,مِصر,EG,2006-01-01,2017-04-21,
