admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Mahe,SC1,,,,Seychelles,SC,2020-05-28,2020-05-28,
Praslin,SC2,,,,Seychelles,SC,2020-05-28,2020-05-28,
La Digue,SC3,,,,Seychelles,SC,2020-05-28,2020-05-28,
Other Islands,SC4,,,,Seychelles,SC,2020-05-28,2020-05-28,
