admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Abia,NG001,Abia,,,Nigeria,NG,2017-02-23,2020-04-22,
Adamawa,NG002,Adamawa,,,Nigeria,NG,2017-02-23,2020-04-22,
Akwa Ibom,NG003,Akwa Ibom,,,Nigeria,NG,2017-02-23,2020-04-22,
Anambra,NG004,Anambra,,,Nigeria,NG,2017-02-23,2020-04-22,
Bauchi,NG005,Bauchi,,,Nigeria,NG,2017-02-23,2020-04-22,
Bayelsa,NG006,Bayelsa,,,Nigeria,NG,2017-02-23,2020-04-22,
Benue,NG007,Benue,,,Nigeria,NG,2017-02-23,2020-04-22,
Borno,NG008,Borno,,,Nigeria,NG,2017-02-23,2020-04-22,
Cross River,NG009,Cross River,,,Nigeria,NG,2017-02-23,2020-04-22,
Delta,NG010,Delta,,,Nigeria,NG,2017-02-23,2020-04-22,
Ebonyi,NG011,Ebonyi,,,Nigeria,NG,2017-02-23,2020-04-22,
Edo,NG012,Edo,,,Nigeria,NG,2017-02-23,2020-04-22,
Ekiti,NG013,Ekiti,,,Nigeria,NG,2017-02-23,2020-04-22,
Enugu,NG014,Enugu,,,Nigeria,NG,2017-02-23,2020-04-22,
Federal Capital Territory,NG015,Federal Capital Territory,,,Nigeria,NG,2017-02-23,2020-04-22,
Gombe,NG016,Gombe,,,Nigeria,NG,2017-02-23,2020-04-22,
Imo,NG017,Imo,,,Nigeria,NG,2017-02-23,2020-04-22,
Jigawa,NG018,Jigawa,,,Nigeria,NG,2017-02-23,2020-04-22,
Kaduna,NG019,Kaduna,,,Nigeria,NG,2017-02-23,2020-04-22,
Kano,NG020,Kano,,,Nigeria,NG,2017-02-23,2020-04-22,
Katsina,NG021,Katsina,,,Nigeria,NG,2017-02-23,2020-04-22,
Kebbi,NG022,Kebbi,,,Nigeria,NG,2017-02-23,2020-04-22,
Kogi,NG023,Kogi,,,Nigeria,NG,2017-02-23,2020-04-22,
Kwara,NG024,Kwara,,,Nigeria,NG,2017-02-23,2020-04-22,
Lagos,NG025,Lagos,,,Nigeria,NG,2017-02-23,2020-04-22,
Nasarawa,NG026,Nasarawa,,,Nigeria,NG,2017-02-23,2020-04-22,
Niger,NG027,Niger,,,Nigeria,NG,2017-02-23,2020-04-22,
Ogun,NG028,Ogun,,,Nigeria,NG,2017-02-23,2020-04-22,
Ondo,NG029,Ondo,,,Nigeria,NG,2017-02-23,2020-04-22,
Osun,NG030,Osun,,,Nigeria,NG,2017-02-23,2020-04-22,
Oyo,NG031,Oyo,,,Nigeria,NG,2017-02-23,2020-04-22,
Plateau,NG032,Plateau,,,Nigeria,NG,2017-02-23,2020-04-22,
Rivers,NG033,Rivers,,,Nigeria,NG,2017-02-23,2020-04-22,
Sokoto,NG034,Sokoto,,,Nigeria,NG,2017-02-23,2020-04-22,
Taraba,NG035,Taraba,,,Nigeria,NG,2017-02-23,2020-04-22,
Yobe,NG036,Yobe,,,Nigeria,NG,2017-02-23,2020-04-22,
Zamfara,NG037,Zamfara,,,Nigeria,NG,2017-02-23,2020-04-22,
