admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Dakar,SN01,,,,Senegal,SN,2017-08-04,2019-04-26,
Diourbel,SN02,,,,Senegal,SN,2017-08-04,2019-04-26,
Fatick,SN03,,,,Senegal,SN,2017-08-04,2019-04-26,
Kaffrine,SN04,,,,Senegal,SN,2017-08-04,2019-04-26,
Kaolack,SN05,,,,Senegal,SN,2017-08-04,2019-04-26,
Kedougou,SN06,,,,Senegal,SN,2017-08-04,2019-04-26,
Kolda,SN07,,,,Senegal,SN,2017-08-04,2019-04-26,
Louga,SN08,,,,Senegal,SN,2017-08-04,2019-04-26,
Matam,SN09,,,,Senegal,SN,2017-08-04,2019-04-26,
Saint Louis,SN10,,,,Senegal,SN,2017-08-04,2019-04-26,
Sedhiou,SN11,,,,Senegal,SN,2017-08-04,2019-04-26,
Tambacounda,SN12,,,,Senegal,SN,2017-08-04,2019-04-26,
Thies,SN13,,,,Senegal,SN,2017-08-04,2019-04-26,
Ziguinchor,SN14,,,,Senegal,SN,2017-08-04,2019-04-26,
