admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Ailinglaplap,MH01,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Ailuk,MH02,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Arno,MH03,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Aur,MH04,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Eneu,MH05,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Ebon,MH06,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Enewetak,MH07,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Jabat,MH08,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Jaluit,MH09,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Kili,MH10,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Kwajalein,MH11,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Lae,MH12,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Lib,MH13,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Likiep,MH14,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Majuro,MH15,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Maloelap,MH16,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Mejit,MH17,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Mili,MH18,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Namdrik,MH19,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Namu,MH20,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Rongelap,MH21,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Ujae,MH22,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Utirik,MH24,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Wotho,MH25,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
Wotje,MH26,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
