admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Bastimentos,PA010101,,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Bocas del Toro,PA010102,Bocas del Toro,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Cauchero,PA010103,,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Punta Laurel,PA010104,Punta Laurel,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Tierra Oscura,PA010105,Tierra Oscura,,,Bocas del Toro,PA0101,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Almirante,PA010201,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Changuinola,PA010202,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Guabito,PA010203,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Teribe,PA010204,,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Valle del Risco,PA010205,Valle del Risco,,,Changuinola,PA0102,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Chiriquí Grande,PA010301,Chiriqui Grande,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Miramar,PA010302,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Punta Peña,PA010303,Punta Pena,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Punta Robalo,PA010304,Punta Robalo,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Rambala,PA010305,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Alanje,PA020101,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Divalá,PA020102,Divala,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
El Tejar,PA020103,El Tejar,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Guarumal,PA020104,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Palo Grande,PA020105,Palo Grande,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Querévalo,PA020106,Querevalo,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Santo Tomás,PA020107,Santo Tomas,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Baco,PA020201,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Limones,PA020202,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Progreso,PA020203,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
