admin2Name_en,admin2Name_bg,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_bg,admin2AltName2_bg,admin1Name_en,admin1Name_bg,admin1Pcode,admin0Name_en,admin0Name_bg,admin0Pcode,date,validOn,validTo
Varshets,,BG009010,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
Yakimovo,,BG009011,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
Batak,,BG010001,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Belovo,,BG010002,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Bratsigovo,,BG010003,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Lesichovo,,BG010004,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Panagiurishte,,BG010005,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pazardzik,,BG010006,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Peshtera,,BG010007,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Rakitovo,,BG010008,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sarnitsa,,BG010009,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Septemvri,,BG010010,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Strelcha,,BG010011,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Velingrad,,BG010012,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
Breznik,,BG011001,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
