admin2Name_en,admin2Name_bg,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_bg,admin2AltName2_bg,admin1Name_en,admin1Name_bg,admin1Pcode,admin0Name_en,admin0Name_bg,admin0Pcode,date,validOn,validTo
Opan,,BG022008,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pavel Bania,,BG022009,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Radnevo,,BG022010,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Stara Zagora,,BG022011,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
Antonovo,,BG023001,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
Omurtag,,BG023002,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
Opaka,,BG023003,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
Popovo,,BG023004,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
Targovishte,,BG023005,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
Aksakovo,,BG024001,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Avren,,BG024002,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Beloslav,,BG024003,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Byala,,BG024004,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dalgopol,,BG024005,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Devnia,,BG024006,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dolni Chiflik,,BG024007,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Provadia,,BG024008,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Suvorovo,,BG024009,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Valchi Dol,,BG024010,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Varna,,BG024011,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Vetrino,,BG024012,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
Elena,,BG025001,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Gorna Oriahovitsa,,BG025002,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Liaskovets,,BG025003,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pavlikeni,,BG025004,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Polski Trambesh,,BG025005,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Strazhitsa,,BG025006,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Suhindol,,BG025007,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Svishtov,,BG025008,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Veliko Tarnovo,,BG025009,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Zlataritsa,,BG025010,,,,,,Veliko Tarnovo,Велико Търново,BG025,Bulgaria,България,BG,2019-09-16,2019-09-16,
Belogradchik,,BG026001,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Boinitsa,,BG026002,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Bregovo,,BG026003,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Chuprene,,BG026004,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dimovo,,BG026005,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Gramada,,BG026006,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kula,,BG026007,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Makresh,,BG026008,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Novo Selo,,BG026009,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Ruzhintsi,,BG026010,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Vidin,,BG026011,,,,,,Vidin,Видин,BG026,Bulgaria,България,BG,2019-09-16,2019-09-16,
Biala Slatina,,BG027001,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Borovan,,BG027002,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Hairedin,,BG027003,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kozlodui,,BG027004,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Krivodol,,BG027005,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Mezdra,,BG027006,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Mizia,,BG027007,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Oryahovo,,BG027008,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Roman,,BG027009,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Vratsa,,BG027010,,,,,,Vratsa,Враца,BG027,Bulgaria,България,BG,2019-09-16,2019-09-16,
Boliarovo,,BG028001,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
Elhovo,,BG028002,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
Straldzha,,BG028003,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
Tundzha,,BG028004,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
Yambol,,BG028005,,,,,,Yambol,Ямбол,BG028,Bulgaria,България,BG,2019-09-16,2019-09-16,
