admin1Name_sk,admin1Pcode,admin1RefName,admin1AltName1_sk,admin1AltName2_sk,admin0Name_sk,admin0Pcode,date,validOn,validTo
Bratislavský kraj,SK010,,,,Slovensko,SK,2022-03-09,2022-03-22,
Trnavský kraj,SK021,,,,Slovensko,SK,2022-03-09,2022-03-22,
Trenčiansky kraj,SK022,,,,Slovensko,SK,2022-03-09,2022-03-22,
Nitriansky kraj,SK023,,,,Slovensko,SK,2022-03-09,2022-03-22,
Žilinský kraj,SK031,,,,Slovensko,SK,2022-03-09,2022-03-22,
Banskobystrický kraj,SK032,,,,Slovensko,SK,2022-03-09,2022-03-22,
Prešovský kraj,SK041,,,,Slovensko,SK,2022-03-09,2022-03-22,
Košický kraj,SK042,,,,Slovensko,SK,2022-03-09,2022-03-22,
